Rank	Title	Studio	Director	Gross
1.	Fatal Attraction	Paramount	Adrian Lyne	$320,145,693
2.	Beverly Hills Cop II	Paramount	Tony Scott	$299,965,036
3.	Dirty Dancing	Vestron	Emile Ardolino	$213,954,274
4.	The Living Daylights	United Artists	John Glen	$191,200,000
5.	Three Men and a Baby	Touchstone	Leonard Nimoy	$167,780,960
6.	Good Morning, Vietnam	Touchstone	Barry Levinson	$123,922,370
7.	Lethal Weapon	Warner Bros.	Richard Donner	$120,207,127
8.	The Secret of My Success	Universal	Herbert Ross	$110,996,879
9.	Predator	Fox	John McTiernan	$98,267,558
10.	Moonstruck	MGM	Norman Jewison	$80,640,528
11.	The Untouchables	Paramount	Brian De Palma	$76,270,454
12.	Broadcast News	Fox	James L. Brooks	$67,331,309
13.	Dragnet	Universal	Tom Mankiewicz	$66,673,516
14.	Outrageous Fortune	Touchstone	Arthur Hiller	$65,864,741
15.	Stakeout	Touchstone	John Badham	$65,673,233
16.	The Witches of Eastwick	Warner Bros.	George Miller	$63,766,510
17.	Throw Momma from the Train	Orion	Danny DeVito	$57,915,972
18.	La Bamba	Columbia	Luis Valdez	$54,215,416
19.	RoboCop	Orion	Paul Verhoeven	$53,424,681
20.	Eddie Murphy Raw	Paramount	Robert Townsend	$50,505,655
