Game	February	Opponent	Score	Location/Attendance	Record	Points
50	1	@ Atlanta Thrashers	4-1	Philips Arena (11,176)	16-27-7	39
51	2	@ Pittsburgh Penguins	3-0	Consol Energy Center (18,142)	16-28-7	39
52	5	Ottawa Senators	5-3	Nassau Veterans Memorial Coliseum (10,415)	17-28-7	41
53	8	Toronto Maple Leafs	5-3	Nassau Veterans Memorial Coliseum (7,249)	17-29-7	41
54	10	@ Montreal Canadiens	4-3 (SO)	Bell Centre (21,273)	18-29-7	43
55	11	Pittsburgh Penguins	9-3	Nassau Veterans Memorial Coliseum (12,888)	19-29-7	45
56	13	@ Buffalo Sabres	7-6 (OT)	HSBC Arena (18,690)	20-29-7	47
57	15	@ Ottawa Senators	4-3 (SO)	Scotiabank Place (17,565)	21-29-7	49
58	17	Boston Bruins	6-3	Nassau Veterans Memorial Coliseum (12,478)	21-30-7	49
59	19	Los Angeles Kings	3-0	Nassau Veterans Memorial Coliseum (13,119)	22-30-7	51
60	21	Florida Panthers	5-1	Nassau Veterans Memorial Coliseum (13,729)	23-30-7	53
61	22	@ Toronto Maple Leafs	2-1	Air Canada Centre (19,459)	23-31-7	53
62	24	@ Philadelphia Flyers	4-3 (OT)	Wachovia Center (19,776)	23-31-8	54
