Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 7, 1980	at Cincinnati Bengals	W 17-12	1:00	Riverfront Stadium	35,551	1-0
2	September 11, 1980	Los Angeles Rams	W 10-9	9:00	Tampa Stadium	66,576	2-0
3	September 21, 1980	at Dallas Cowboys	L 28-17	4:00	Texas Stadium	62,750	2-1
4	September 28, 1980	Cleveland Browns	L 34-27	1:00	Tampa Stadium	65,540	2-2
5	October 6, 1980	at Chicago Bears	L 23-0	9:00	Soldier Field	61,350	2-3
6	October 12, 1980	Green Bay Packers	T 14-14 OT	1:00	Tampa Stadium	64,854	2-3-1
7	October 19, 1980	at Houston Oilers	L 20-14	4:00	Houston Astrodome	48,167	2-4-1
8	October 26, 1980	at San Francisco 49ers	W 24-23	4:00	Candlestick Park	51,925	3-4-1
9	November 2, 1980	New York Giants	W 30-13	1:00	Tampa Stadium	68,256	4-4-1
10	November 9, 1980	Pittsburgh Steelers	L 24-21	1:00	Tampa Stadium	71,636	4-5-1
11	November 16, 1980	at Minnesota Vikings	L 38-30	2:00	Metropolitan Stadium	46,032	4-6-1
12	November 23, 1980	Detroit Lions	L 24-10	1:00	Tampa Stadium	64,976	4-7-1
13	November 30, 1980	at Green Bay Packers	W 20-17	2:00	Milwaukee County Stadium	54,225	5-7-1
14	December 7, 1980	Minnesota Vikings	L 21-10	1:00	Tampa Stadium	65,649	5-8-1
15	December 14, 1980	at Detroit Lions	L 27-14	4:00	Pontiac Silverdome	77,098	5-9-1
16	December 20, 1980	Chicago Bears	L 14-13	4:00	Tampa Stadium	55,298	5-10-1
