Region	Host	Venue	City	State
East	Providence College	Alumni Hall (Providence)	Providence	Rhode Island
East	Rutgers University	Louis Brown Athletic Center	Piscataway	New Jersey
East	James Madison University	James Madison University Convocation Center	Harrisonburg	Virginia
East	University of Richmond	Robins Center	Richmond	North Carolina
East	Clemson University	Littlejohn Coliseum	Clemson	South Carolina
East	University of Connecticut	Harry A. Gampel Pavilion	Storrs	Connecticut
East	Pennsylvania State University	Recreation Building (Rec Hall)	University Park	Pennsylvania
East	North Carolina State University	Reynolds Coliseum	Raleigh	North Carolina
Mideast	Florida State University	Tully Gymnasium	Tallahassee	Florida
Mideast	Vanderbilt University	Memorial Gymnasium (Vanderbilt University)	Nashville	Tennessee
Mideast	Southwest Missouri State University	Hammons Student Center	Springfield	Missouri
Mideast	Holy Cross	Hart Center	Worcester	Massachusetts
Mideast	Purdue University	Mackey Arena	West Lafayette	Indiana
Mideast	Western Kentucky University	E.A. Diddle Arena	Bowling Green	Kentucky
Mideast	University of Tennessee	Thompson-Boling Arena	Knoxville	Tennessee
Mideast	Auburn University	Memorial Coliseum (Beard–Eaves–Memorial Coliseum)	Auburn	Alabama
Midwest	Northwestern University	Welsh-Ryan Arena	Evanston	Illinois
Midwest	Oklahoma State University	Gallagher-Iba Arena	Stillwater	Oklahoma
Midwest	Stephen F. Austin University	William R. Johnson Coliseum	Nacogdoches	Texas
Midwest	University of Texas	Frank Erwin Center	Austin	Texas
Midwest	Oklahoma State University	Gallagher-Iba Arena	Stillwater	Oklahoma
Midwest	University of Virginia	University Hall (University of Virginia)	Charlottesville	Virginia
Midwest	Lamar University	Montagne Center	Beaumont	Texas
Midwest	University of Arkansas	Barnhill Arena	Fayetteville	Arkansas
West	University of Montana	Dahlberg Arena	Missoula	Montana
West	University of Nevada at Las Vegas	Thomas and Mack Center	Paradise	Nevada
West	University of Southern California	Lyon Center	Los Angeles	California
West	California State University, Fullerton	Titan Gym	Fullerton	California
West	Stanford University	Maples Pavilion	Stanford	California
West	University of Georgia	Georgia Coliseum (Stegeman Coliseum)	Athens	Georgia
West	University of Washington	Hec Edmundson Pavilion	Seattle	Washington
West	Long Beach State	University Gym (Gold Mine)	Long Beach	California
