Res.	Record	Opponent	Method	Event	Round	Location
Loss	20-17	Gennadiy Kovalev	TKO (punches)	Rings - Reincarnation	2	Tokyo, Japan
Win	20-16	Yuji Hisamatsu	KO (spinning back kick)	FWC 1: Return of the Hammer	1	Australia
Loss	19-16	Bill Mahood	TKO (corner stoppage)	Spartan Reality Fight 9	3	Australia
Loss	19-15	Akihiro Gono	Decision (majority)	ZST 2 - The Battle Field 2	3	Tokyo , Japan
Loss	19-14	Mike van Arsdale	TKO (strikes)	WFA 3: Level 3	2	Nevada , United States
Loss	19-13	Evan Tanner	Decision (unanimous)	UFC 38	3	England
Win	19-12	Yukiyasu Ozawa	Submission (kimura)	Premium Challenge	1	Tokyo , Japan
Loss	18-12	Fedor Emelianenko	TKO (strikes)	Rings - World Title Series Grand Final	1	Yokohama , Japan
Win	18-11	Egidijus Valavicius	Submission (armbar)	Rings: World Title Series 5	1	Yokohama , Japan
Win	17-11	Koba Tkeshelashvili	Decision (unanimous)	Rings: World Title Series 4	3	Tokyo , Japan
Loss	16-11	Gustavo Machado	Decision (unanimous)	Rings: 10th Anniversary	3	Tokyo , Japan
Win	16-10	Alexandre Ferreira	Submission (guillotine choke)	Rings: World Title Series 2	1	Yokohama , Japan
Loss	15-10	Yoshihisa Yamamoto	TKO (strikes)	Rings: King of Kings 2000 Block B	1	Osaka , Japan
Win	15-9	Carlos Barreto	Decision (unanimous)	Rings: King of Kings 2000 Block B	2	Osaka , Japan
Win	14-9	Joe Slick	Decision	Rings Australia: Free Fight Battle	1	Australia
Loss	13-9	Jeremy Horn	Submission (armbar)	Rings USA: Rising Stars Final	1	Illinois , United States
Win	13-8	Yasuhito Namekawa	Submission (kimura)	Rings USA: Rising Stars Final	1	Illinois , United States
Loss	12-8	Matt Hughes	Decision (unanimous)	Rings: Millennium Combine 3	2	Osaka , Japan
Win	12-7	Jermaine Andre	Submission (toe hold)	Rings USA: Rising Stars Block A	1	Utah , United States
Win	11-7	Matt Frost	Submission (armbar)	Rings USA: Rising Stars Block A	1	Utah , United States
Loss	10-7	Iouri Bekichev	KO (punch)	Rings Russia: Russia vs. The World	1	Ekaterinburg , Russia
Win	10-6	Yasuhito Namekawa	Submission (guillotine choke)	Rings Australia: NR 4	1	Australia
Win	9-6	Brad Kohler	Submission (kimura)	Rings: King of Kings 1999 Final	1	Tokyo , Japan
Loss	8-6	Tsuyoshi Kohsaka	Decision (split)	Rings: King of Kings 1999 Block B	3	Osaka , Japan
Win	8-5	Willie Peeters	Submission (kneebar)	Rings: Rise 5th	1	Japan
Win	7-5	Masayuki Naruse	Submission (kimura)	Rings: Rise 2nd	1	Japan
Win	6-5	Yasuhito Namekawa	Submission (arm triangle choke)	Rings: Rise 1st	1	Japan
Win	5-5	Dick Vrij	Submission (rear naked choke)	Rings Australia: NR 3	1	Australia
Loss	4-5	Kenichi Yamamoto	Submission	Rings: Third Fighting Integration	1	Tokyo , Japan
Loss	4-4	Valentijn Overeem	Decision (unanimous)	Rings Holland: The King of Rings	2	Netherlands
Loss	4-3	Mitsuya Nagai	Submission (heel hook)	Rings - Mega Battle Tournament 1997 Semifinal 1	1	Japan
Win	4-2	Alexander Otsuka	TKO (doctor stoppage from a cut)	Rings - Extension Fighting 2	1	Japan
Loss	3-2	Mario Sperry	Submission (strikes)	Caged Combat 1	1	Australia
Win	3-1	Elvis Sinosic	Submission (chin to the eye)	Caged Combat 1	1	Australia
Win	2-1	Hiriwa Te Rangi	Submission (chin to the eye)	Caged Combat 1 - Australian Ultimate Fighting	1	Australia
Loss	1-1	Murilo Bustamante	TKO (corner stoppage)	MARS - Martial Arts Reality Superfighting	1	Alabama , United States
Win	1-0	Willie Peeters	N/A	Rings - Budokan Hall 1996	N/A	Tokyo , Japan
