Alumni	Original season	Fresh Meat Partner	Age	Hometown	Finish
Landon Lueck	RW: Philadelphia	Carley Johnson	25	Las Vegas, NV	Winners
Kenny Santucci	Fresh Meat	Laurel Stucky	24	Detroit, MI	2nd Place
Jillian Zoboroski	RR: X-Treme	Pete Connolly	21	Wellesley, MA	3rd Place
Jenn Grijalva	RW: Denver	Noor Jehangir	24	Austin, TX	4th Place
Ryan Kehoe	Fresh Meat	Theresa Gonzalez	24	Milwaukee, WI	Episode 9/10
Evelyn Smith	Fresh Meat	Luke Wolfe	22	Eugene, OR	Episode 8/9
Wes Bergmann	RW: Austin	Mandi Moyer	21	Portland, OR	Episode 7
Christian "CJ" Koegel	RW: Cancun	Sydney Walker	21	Washington, D.C.	Episode 6
Danny Jamieson	RW: Austin	Sandy Kang	22	Tacoma, WA	Episode 5
Katelynn Cusanelli	RW: Brooklyn	Brandon Nelson	25	Jacksonville, AR	Episode 4
Paula Meronek	RW: Key West	Jeff Barr	25	Dallas, TX	Episode 3
Sarah Rice	RW: Brooklyn	Vinny Foti	25	Boston, MA	Episode 2
