No.	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
1	"Pilot"	J. J. Abrams	J. J. Abrams & Josh Reims	September22,2010	296768	8.57
2	"Instructions"	Stephen Williams	J. J. Abrams & Josh Reims	September29,2010	2J5452	7.24
3	"Devices"	Tucker Gates	J. J. Abrams & Josh Reims	October6,2010	2J5453	6.38
4	"Jailbreak"	Anthony Hemingway	Phil Klemmer	October13,2010	2J5455	5.93
5	"Not Without My Daughter"	Dan Attias	Elwood Reid	October20,2010	2J5454	5.90
6	"Xerxes"	Stephen Williams	Michael Foley	October27,2010	2J5456	5.45
7	"Assassin"	Brad Anderson	Karin Gist	November3,2010	2J5457	5.91
8	"Crashed"	Rosemary Rodriguez	Anthony Sparks	November10,2010	2J5458	5.13
9	"A Night to Forget"	Frederick E. O. Toye	Alex Katsnelson	December1,2010	2J5459	4.82
10	"Funny Money"	Jonas Pate	Tracy Bellomo	December22,2010	2J5460	4.21
11	"The Key to It All"	Tucker Gates	Phil Klemmer	December29,2010	2J5461	4.46
12	"Dark Cover"	Jeff Thomas	Elwood Reid	Unaired (US) January 2, 2012 (Australia)	2J5462	N/A
