Date	Visitor	Score	Home	Decision	Attendance	Record
October 4	St. Louis	2 – 3	Phoenix	Tellqvist	17,799	1–0–0
October 6	Boston	3 – 1	Phoenix	Tellqvist	14,087	1–1–0
October 10	Phoenix	0 – 3	Columbus	Aebischer	11,944	1–2–0
October 11	Phoenix	6 – 3	Nashville	Auld	12,155	2–2–0
October 13	Minnesota	3 – 2	Phoenix	Auld	12,088	2–3–0
October 18	Edmonton	4 – 2	Phoenix	Auld	10,448	2–4–0
October 20	Detroit	5 – 2	Phoenix	Tellqvist	14,154	2–5–0
October 25	Phoenix	1 – 0	Anaheim	Auld	17,174	3–5–0
October 27	Dallas	5 – 3	Phoenix	Auld	13,741	3–6–0
October 30	Phoenix	2 – 1	St. Louis	Tellqvist	14,222	4–6–0
