Product	2004	2003	2002	2001
Grain	2,289,000 tonnes	2,377,000 tonnes	2,360,000 tonnes	2,455,000 tonnes
Timber	295,000 tonnes	391,000 tonnes	406,000 tonnes	452,000 tonnes
Bulk liquids	774,000 tonnes	727,000 tonnes	788,000 tonnes	707,000 tonnes
Bulk cargo	6,051,000 tonnes	6,296,000 tonnes	5,572,000 tonnes	5,026,000 tonnes
Oil Terminal	11,406,000 tonnes	11,406,000 tonnes	11,604,000 tonnes	11,236,000 tonnes
General cargo	374,000 tonnes	556,000 tonnes	468,000 tonnes	514,000 tonnes
Total	32,171,000 tonnes	31,753,000 tonnes	30,564,000 tonnes	30,501,000 tonnes
Passengers	720,000	734,000	716,000	654,000
Containers	616,000	578,000	535,000	524,000
RoRo	513,000	476,000	502,000	533,000
