White	Black	Year	Result	Moves	Tournament	Opening
Kramnik	Kasparov	1993	½–½	19	Linares	E86 King's Indian Defence
Kramnik	Kasparov	1994	1–0	40	Linares	E93 King's Indian Defence
Kasparov	Kramnik	1994	1–0	35	Novgorod	B33 Sicilian Defence
Kramnik	Kasparov	1994	½–½	26	Novgorod	D85 English Opening
Kramnik	Kasparov	1995	½–½	14	Riga , Tal Memorial	C54 Italian Game
Kramnik	Kasparov	1995	½–½	58	Novgorod	C55 Two Knights Defense
Kasparov	Kramnik	1995	½–½	13	Horgen	B57 Sicilian Defence
Kasparov	Kramnik	1996	1–0	43	Amsterdam	B66 Sicilian Defence
Kasparov	Kramnik	1996	0–1	35	Dos Hermanas	D48 Queen's Gambit
Kasparov	Kramnik	1996	½–½	19	Las Palmas	E71 King's Indian Defence
Kramnik	Kasparov	1996	½–½	58	Las Palmas	D56 Queen's Gambit
Kasparov	Kramnik	1997	1–0	58	Linares	E59 Nimzo-Indian Defence
Kramnik	Kasparov	1997	1–0	32	Horgen	E97 King's Indian Defence
Kramnik	Kasparov	1997	½–½	41	Novgorod	B66 Sicilian Defence
Kasparov	Kramnik	1997	½–½	35	Tilburg	E39 Nimzo-Indian Defence
Kramnik	Kasparov	1998	½–½	26	Linares	D85 Grünfeld Defence
Kasparov	Kramnik	1998	½–½	52	Linares	E32 Nimzo-Indian Defence
Kramnik	Kasparov	1999	½–½	28	Wijk aan Zee	D49 Semi-Slav Defense
Kasparov	Kramnik	1999	½–½	20	Linares	E34 Nimzo-Indian Defence
Kramnik	Kasparov	1999	½–½	35	Linares	D88 Grünfeld Defence
Kramnik	Kasparov	2000	½–½	37	Wijk aan Zee	D85 Grünfeld Defence
Kasparov	Kramnik	2000	½–½	21	Linares	C42 Petrov's Defence
Kramnik	Kasparov	2000	½–½	41	Linares	D23 Queen's Gambit
Kasparov	Kramnik	2000	½–½	25	London (1)	C67 Ruy Lopez
Kramnik	Kasparov	2000	1–0	40	London (2)	D85 Grünfeld Defence
Kasparov	Kramnik	2000	½–½	53	London (3)	C67 Ruy Lopez
Kramnik	Kasparov	2000	½–½	74	London (4)	D27 Queen's Gambit
Kasparov	Kramnik	2000	½–½	24	London (5)	A34 English Opening
Kramnik	Kasparov	2000	½–½	66	London (6)	D27 Queen's Gambit
Kasparov	Kramnik	2000	½–½	11	London (7)	A32 English Opening
Kramnik	Kasparov	2000	½–½	38	London (8)	E32 Nimzo-Indian Defence
Kasparov	Kramnik	2000	½–½	33	London (9)	C67 Ruy Lopez
Kramnik	Kasparov	2000	1–0	25	London (10)	E54 Nimzo-Indian Defence
Kasparov	Kramnik	2000	½–½	41	London (11)	C78 Ruy Lopez
Kramnik	Kasparov	2000	½–½	33	London (12)	E55 Nimzo-Indian Defence
Kasparov	Kramnik	2000	½–½	14	London (13)	C67 Ruy Lopez
Kramnik	Kasparov	2000	½–½	57	London (14)	A30 English Opening
Kasparov	Kramnik	2000	½–½	38	London (15)	E05 Catalan Opening
Kasparov	Kramnik	2001	½–½	46	Wijk aan Zee	C67 Ruy Lopez
Kramnik	Kasparov	2001	½–½	30	Astana	D85 Grünfeld Defence
Kasparov	Kramnik	2001	1–0	46	Astana	C67 Ruy Lopez
Kramnik	Kasparov	2001	½–½	18	Botvinnik Memorial	D27 Queen's Gambit
Kasparov	Kramnik	2001	½–½	72	Botvinnik Memorial	B41 Sicilian Defence
Kramnik	Kasparov	2001	½–½	21	Botvinnik Memorial	D58 Queen's Gambit
Kasparov	Kramnik	2001	½–½	19	Botvinnik Memorial	C80 Ruy Lopez
Kramnik	Kasparov	2003	½–½	18	Linares	D27 Queen's Gambit
Kasparov	Kramnik	2003	½–½	33	Linares	C88 Ruy Lopez
Kasparov	Kramnik	2004	½–½	44	Linares	E12 Queen's Indian Defence
Kramnik	Kasparov	2004	½–½	17	Linares	D27 Queen's Gambit
