Frequency	Station	Operator	Language	Genre
87.7MHz	Klasik Nasional FM	RTM	Malay	Music
88.1MHz	One FM	Media Prima	Mandarin , Cantonese	Talk , Music
88.5MHz	Nasional FM	RTM	Malay	Music
88.9MHz	Capital FM	Star RFM Radio	English	Music
89.3MHz	Ai FM	RTM	Mandarin, Various Chinese dialects	Music, Talk
89.9MHz	BFM 89.9	BFM Media	English	Music, News , Talk
90.3MHz	TraXX FM	RTM	English	Music, Talk
90.7MHz	Putra FM	Universiti Putra Malaysia	Malay, English	Music, Talk
91.1MHz	Asyik FM	RTM	Jakun , Semai , Temiar	Music, Talk
91.5MHz	IKIM.fm	Institute of Islamic Studies Malaysia	Malay, English, Arabic	Music, Talk
92.3MHz	Minnal FM	RTM	Tamil	Music, Talk
92.9MHz	Hitz.fm	AMP Radio Networks	English	Music, Talk
93.6MHz	UFM	Universiti Teknologi MARA	English, Malay	Music, Talk
93.9MHz	Radio24	Bernama	Malay, English	News , music
94.5MHz	Mix FM	AMP Radio Networks	English	Talk , Music
95.3MHz	Nasional FM	RTM	Malay	Music
95.8MHz	Fly FM	Media Prima	English, Malay	Talk , music
96.3MHz	Minnal FM	RTM	Tamil	Talk , music
96.7MHz	Sinar FM	AMP Radio Networks	Malay	Talk , music
97.2MHz	KLFM	RTM	Malay	Talk , music
97.6MHz	Hot FM	Media Prima	Malay	Talk , music
98.3MHz	Klasik Nasional FM	RTM	Malay	Music
98.8MHz	988 FM	Star RFM Radio	Chinese (Cantonese)	Talk , music
99.3MHz	THR.fm (Raaga)	AMP Radio Networks	Tamil	Talk , music
100.1MHz	TraXX FM	RTM	English	Talk , music
100.9MHz	Selangor FM	RTM	Malay	Talk , music
101.8MHz	MY FM	AMP Radio Networks	Chinese (Cantonese)	Talk , music
102.5MHz	Asyik FM and Salam FM	RTM	Orang Asli	Talk , music
103.0MHz	Melody FM	AMP Radio Networks	Chinese	music
103.3MHz	Era FM	AMP Radio Networks	Malay	Talk , music
104.1MHz	Best 104	Suara Johor Sdn.Bhd	Malay	Music
104.9MHz	Red FM	Star RFM Radio	English, Malay	Talk , music
105.3MHz	Suria FM	Star RFM Radio	Malay	Talk , music
105.7MHz	LiteFM	AMP Radio Networks	English	Music
106.7MHz	Ai FM	RTM	Chinese	Talk , music
107.5MHz	Pahang FM	RTM	Malay	Talk , music
