Year	Entrant	Chassis	Engine	Points
1970	Scuderia Ferrari SpA	Ferrari 312B	Ferrari Flat-12	33
1971	Scuderia Ferrari SpA	Ferrari 312B	Ferrari Flat-12	13
1971	Scuderia Ferrari SpA	Ferrari 312B2	Ferrari Flat-12	13
1972	Scuderia Ferrari SpA	Ferrari 312B2	Ferrari Flat-12	15
1973	Marlboro BRM	BRM P160D	BRM V12	2
1973	Marlboro BRM	BRM P160E	BRM V12	2
1974	Scuderia Ferrari SpA	Ferrari 312B3	Ferrari Flat-12	52
1975	Scuderia Ferrari SpA	Ferrari 312B3	Ferrari Flat-12	25
1975	Scuderia Ferrari SpA	Ferrari 312T	Ferrari Flat-12	25
1976	Scuderia Ferrari SpA	Ferrari 312T	Ferrari Flat-12	31
1976	Scuderia Ferrari SpA	Ferrari 312T2	Ferrari Flat-12	31
1977	Team Tissot Ensign	Ensign N177	Cosworth V8	5
1978	Shadow Racing Team	Shadow DN8	Cosworth V8	4
1978	Shadow Racing Team	Shadow DN9	Cosworth V8	4
1979	Albilad-Saudi Racing Team	Williams FW06	Cosworth V8	29 (32)
1979	Albilad-Saudi Racing Team	Williams FW07	Cosworth V8	29 (32)
1980	Unipart Racing Team	Ensign N180	Cosworth V8	0
