Edition	Round	Date	Against	Surface	Opponent	Result
2004 Davis Cup Europe/Africa Group II	1R	9–11 April 2004	Tunisia	Hard	Haithem Abid	6–4, 6–3, 7–5
2004 Davis Cup Europe/Africa Group II	QF	16–18 July 2004	Serbia and Montenegro	Clay	Janko Tipsarević	2–6, 4–6, 1–6
2004 Davis Cup Europe/Africa Group II	QF	16–18 July 2004	Serbia and Montenegro	Clay	Boris Pašanski	7–6 (7–3) , 2–6, 0–6
2005 Davis Cup Europe/Africa Group II	1R	4–6 March 2005	Estonia	Carpet	Mait Künnap	7–6 (9–7) , 6–4, 6–2
2005 Davis Cup Europe/Africa Group II	QF	15–17 July 2005	Algeria	Clay	Lamine Ouahab	6–7 (2–7) , 4–6, 3–6
2005 Davis Cup Europe/Africa Group II	QF	15–17 July 2005	Algeria	Clay	Slimane Saoudi	4–6, 6–7 (5–7) , 6–0, 6–2, 6–2
2005 Davis Cup Europe/Africa Group II	SF	23–25 September 2005	Slovenia	Clay	Bostjan Osabnik	7–6 (7–3) , 6–1, 6–1
2006 Davis Cup Europe/Africa Group I	1R	10–12 February 2006	Luxembourg	Hard	Gilles Müller	2–6, 1–6 4–6
2006 Davis Cup Europe/Africa Group I	GI Play-Offs	22–24 September 2006	Morocco	Clay	Mehdi Tahiri	6–2, 6–4, 6–2
2006 Davis Cup Europe/Africa Group I	GI Play-Offs	22–24 September 2006	Morocco	Clay	Rabie Chaki	1–6, 7–5, 6–1, 7–6 (7–5)
2007 Davis Cup Europe/Africa Group I	1R	9–11 February 2007	Georgia	Carpet	Lado Chikhladze	3–6, 6–7 (2–7) , 7–6 (7–3) , 4–6
2007 Davis Cup Europe/Africa Group I	GI Play-Offs	21–23 September 2007	Netherlands	Hard	Raemon Sluiter	2–6, 1–6, 3–6
2007 Davis Cup Europe/Africa Group I	GI Play-Offs	21–23 September 2007	Netherlands	Hard	Robin Haase	3–6, 4–6
2008 Davis Cup Europe/Africa Group II	1R	11–13 April 2008	Tunisia	Clay	Malek Jaziri	6–3, 6–4, 6–3
2008 Davis Cup Europe/Africa Group II	QF	18–20 July 2008	Cyprus	Clay	George Kallis	6–1, 6–1, 6–0
2008 Davis Cup Europe/Africa Group II	QF	18–20 July 2008	Cyprus	Clay	Photos Kallias	6–3, 6–2
2009 Davis Cup Europe/Africa Group II	1R	6–8 March 2009	Cyprus	Hard	Photos Kallias	6–0, 6–2, 6–1
2009 Davis Cup Europe/Africa Group II	1R	6–8 March 2009	Cyprus	Hard	Marcos Baghdatis	2–6, 5–7, 2–6
2009 Davis Cup Europe/Africa Group II	GI Play-Offs	10–12 July 2009	Algeria	Clay	Abdel-Hak Hameurlaine	6–1, 6–2, 6–4
2010 Davis Cup Europe/Africa Group II	1R	5–7 March 2010	Denmark	Clay	Martin Pedersen	6–2, 7–6 (9–7 , 3–6, 6–3
2010 Davis Cup Europe/Africa Group II	QF	9–11 July 2010	Cyprus	Clay	Philippos Tsangaridis	6–0, 6–1, ret.
2010 Davis Cup Europe/Africa Group II	SF	17–19 September 2010	Bosnia and Herzegovina	Clay	Amer Delić	6–3, 6–4, 6–7 (14–16) , 3–6, 9–7
2010 Davis Cup Europe/Africa Group II	SF	17–19 September 2010	Bosnia and Herzegovina	Clay	Aldin Setkic	6–4, 6–3, 6–3
2011 Davis Cup Europe/Africa Group I	1R	4–6 March 2011	Slovakia	Clay	Lukáš Lacko	6–2, 6–2, 6–1
2011 Davis Cup Europe/Africa Group I	2R	8–10 July 2011	Switzerland	Carpet	Stanislas Wawrinka	5–7, 3–6, 4–6
2012 Davis Cup Europe/Africa Group I	2R	6–8 April 2012	Israel	Hard	Dudi Sela	3–6, 4–6, 4–6
2012 Davis Cup Europe/Africa Group I	2R	6–8 April 2012	Israel	Hard	Amir Weintraub	6–3, 3–6, 7–6 (7–3)
2013 Davis Cup Europe/Africa Group II	2R	5–7 April 2013	Lithuania	Clay	Kasparas Zemaitelis	6-1, 6-3
