Week	Date	Opponent	Result	Attendance
1	September 28, 1947	at Philadelphia Eagles	L 45-42	35,406
2	October 2, 1947	Pittsburgh Steelers	W 27-26	36,585
3	October 12, 1947	New York Giants	W 28-20	36,533
4	October 19, 1947	at Green Bay Packers	L 27-10	28,572
5	October 26, 1947	Chicago Bears	L 56-20	36,591
6	November 2, 1947	Philadelphia Eagles	L 38-14	36,591
7	November 9, 1947	at Pittsburgh Steelers	L 21-14	36,257
8	November 16, 1947	at Detroit Lions	L 38-21	17,003
9	November 23, 1947	Chicago Cardinals	W 45-21	35,362
10	November 30, 1947	at Boston Yanks	L 27-24	24,800
11	December 7, 1947	at New York Giants	L 35-10	25,594
12	December 14, 1947	Boston Yanks	W 40-13	33,226
