Date	Visitor	Score	Home	Record
October 13	Chicago Black Hawks	0–4	Montreal Canadiens	0–1–0
October 15	Chicago Black Hawks	4–4	Toronto Maple Leafs	0–1–1
October 19	Chicago Black Hawks	4–7	Boston Bruins	0–2–1
October 23	Chicago Black Hawks	3–3	Detroit Red Wings	0–2–2
October 25	New York Rangers	2–1	Chicago Black Hawks	0–3–2
October 27	Detroit Red Wings	3–1	Chicago Black Hawks	0–4–2
October 29	Chicago Black Hawks	2–0	New York Rangers	1–4–2
October 30	Boston Bruins	4–10	Chicago Black Hawks	2–4–2
November 2	Montreal Canadiens	1–4	Chicago Black Hawks	3–4–2
November 6	Toronto Maple Leafs	4–2	Chicago Black Hawks	3–5–2
November 9	Chicago Black Hawks	3–1	Boston Bruins	4–5–2
November 12	Chicago Black Hawks	0–4	Toronto Maple Leafs	4–6–2
November 13	Montreal Canadiens	0–0	Chicago Black Hawks	4–6–3
November 16	Chicago Black Hawks	1–4	Detroit Red Wings	4–7–3
November 17	Boston Bruins	3–8	Chicago Black Hawks	5–7–3
November 20	New York Rangers	5–2	Chicago Black Hawks	5–8–3
November 24	Detroit Red Wings	3–3	Chicago Black Hawks	5–8–4
November 26	Chicago Black Hawks	7–2	Detroit Red Wings	6–8–4
November 27	Toronto Maple Leafs	3–6	Chicago Black Hawks	7–8–4
December 1	Boston Bruins	4–5	Chicago Black Hawks	8–8–4
December 3	Chicago Black Hawks	3–5	Boston Bruins	8–9–4
December 4	Chicago Black Hawks	0–4	New York Rangers	8–10–4
December 7	Chicago Black Hawks	1–2	New York Rangers	8–11–4
December 8	Toronto Maple Leafs	4–1	Chicago Black Hawks	8–12–4
December 10	Chicago Black Hawks	1–1	Montreal Canadiens	8–12–5
December 11	Montreal Canadiens	3–0	Chicago Black Hawks	8–13–5
December 14	New York Rangers	3–5	Chicago Black Hawks	9–13–5
December 17	Chicago Black Hawks	7–1	Toronto Maple Leafs	10–13–5
December 18	Detroit Red Wings	5–3	Chicago Black Hawks	10–14–5
December 21	Boston Bruins	4–1	Chicago Black Hawks	10–15–5
December 25	Chicago Black Hawks	4–4	Boston Bruins	10–15–6
December 28	Chicago Black Hawks	2–5	New York Rangers	10–16–6
December 31	Chicago Black Hawks	2–3	Montreal Canadiens	10–17–6
January 1	Montreal Canadiens	1–5	Chicago Black Hawks	11–17–6
January 4	Chicago Black Hawks	4–4	Toronto Maple Leafs	11–17–7
January 7	Chicago Black Hawks	2–5	Toronto Maple Leafs	11–18–7
January 8	Chicago Black Hawks	1–1	New York Rangers	11–18–8
January 10	Montreal Canadiens	7–3	Chicago Black Hawks	11–19–8
January 14	Chicago Black Hawks	0–3	Montreal Canadiens	11–20–8
January 15	Chicago Black Hawks	5–1	Boston Bruins	12–20–8
January 18	Detroit Red Wings	5–4	Chicago Black Hawks	12–21–8
January 21	Chicago Black Hawks	3–5	Detroit Red Wings	12–22–8
January 22	New York Rangers	3–4	Chicago Black Hawks	13–22–8
January 26	Boston Bruins	1–5	Chicago Black Hawks	14–22–8
January 28	Chicago Black Hawks	1–9	Toronto Maple Leafs	14–23–8
January 29	Toronto Maple Leafs	4–0	Chicago Black Hawks	14–24–8
February 1	Toronto Maple Leafs	0–3	Chicago Black Hawks	15–24–8
February 4	Chicago Black Hawks	6–2	Montreal Canadiens	16–24–8
February 5	Montreal Canadiens	4–3	Chicago Black Hawks	16–25–8
February 8	Chicago Black Hawks	2–9	Detroit Red Wings	16–26–8
February 9	New York Rangers	5–3	Chicago Black Hawks	16–27–8
February 12	Toronto Maple Leafs	1–1	Chicago Black Hawks	16–27–9
February 15	Detroit Red Wings	0–3	Chicago Black Hawks	17–27–9
February 19	Boston Bruins	4–4	Chicago Black Hawks	17–27–10
February 22	Chicago Black Hawks	0–3	New York Rangers	17–28–10
February 23	New York Rangers	7–3	Chicago Black Hawks	17–29–10
February 26	Detroit Red Wings	4–1	Chicago Black Hawks	17–30–10
March 2	Montreal Canadiens	2–5	Chicago Black Hawks	18–30–10
March 4	Chicago Black Hawks	1–3	Montreal Canadiens	18–31–10
March 5	Chicago Black Hawks	4–11	Boston Bruins	18–32–10
March 8	New York Rangers	4–2	Chicago Black Hawks	18–33–10
March 11	Chicago Black Hawks	1–5	Detroit Red Wings	18–34–10
March 12	Detroit Red Wings	4–2	Chicago Black Hawks	18–35–10
March 15	Toronto Maple Leafs	0–4	Chicago Black Hawks	19–35–10
March 18	Chicago Black Hawks	1–2	Toronto Maple Leafs	19–36–10
March 19	Boston Bruins	4–3	Chicago Black Hawks	19–37–10
March 21	Chicago Black Hawks	6–3	New York Rangers	20–37–10
March 22	Chicago Black Hawks	7–5	Boston Bruins	21–37–10
March 25	Chicago Black Hawks	0–4	Montreal Canadiens	21–38–10
March 26	Chicago Black Hawks	5–4	Detroit Red Wings	22–38–10
