Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position
1986	2	0	0	0	0	31.0	24.0	$6,065	70th
1987	2	0	0	0	0	32.5	15.0	$8,810	60th
1988	4	0	0	0	0	31.5	21.0	$14,225	45th
1989	8	0	0	0	0	29.9	29.2	$44,690	38th
1990	18	0	0	0	0	29.1	24.1	$80,140	33rd
1991	28	0	0	1	0	24.3	22.6	$184,190	27th
1992	19	0	0	1	0	26.9	25.1	$145,805	31st
1993	3	0	0	0	0	31.3	30.3	$41,140	51st
1994	1	0	0	0	0	17.0	29.0	$30,805	68th
1995	2	0	0	0	0	19.5	30.0	$22,775	53rd
1996	9	0	0	0	0	24.3	31.1	$164,752	44th
1997	27	0	0	1	0	29.1	28.7	$555,914	36th
1998	32	0	1	7	0	27.1	19.4	$1,449,659	15th
1999	34	0	0	5	0	28.7	23.4	$1,623,976	23rd
2000	27	0	0	1	0	31.7	22.2	$1,418,884	32nd
2002	1	0	0	0	0	36.0	33.0	$49,745	77th
