Rank	Name	Stories	Height	Year Completed	Primary Purpose	City
1	801 Grand (previously The Principal Building)	45	630ft (192 m)	1991	Office	Des Moines
2	Ruan Center	36	460ft (140 m)	1975	Office	Des Moines
3	Des Moines Marriott Hotel	33	365ft (111 m)	1981	Hotel	Des Moines
4	Financial Center	25	345ft (105 m)	1973	Office	Des Moines
5	Plaza Building	25	340ft (104 m)	1985	Residential	Des Moines
6	HUB Tower	25	325ft (99 m)	1986	Office	Des Moines
7	EMC Insurance Building	19	325ft (99 m)	1997	Office	Des Moines
8	Equitable Building	19	318ft (97 m)	1924	Residential	Des Moines
9	Alliant Tower	21	285ft (86.9 m)	1972	Office	Cedar Rapids
10	Bank of America Building	16	280ft (85 m)	1966	Office	Des Moines
11	Iowa State Capitol	4	275ft (83.8 m)	1884	Government	Des Moines
12	Qwest Complex	15	273ft (83 m)	–	Office	Des Moines
13	Register & Tribune Building	14	243ft (74 m)	1916	Office	Des Moines
14	Wells Fargo Building	19	240ft (73 m)	1927	Office	Davenport
15	Cedar River Tower	25	237ft (72 m)	1974	Residential/Office	Cedar Rapids
16	MidAmerican Building	15	220ft (67 m)	1995	Office	Davenport
17	Plaza 425 (previously the APAC Building)	14	207ft (63 m)	1983	Office	Cedar Rapids
