N°	Television service	Country	Language	Content	DAR	HDTV	PPV	Package/Option
300–315	Sky Cinema Active	Italy	Italian	locandine e trailer	16:9	no	no	Sky Cinema
301	Sky Cinema 1	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
301	Sky Cinema 1 HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
302	Sky Cinema +1	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
302	Sky Cinema +1 HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
303	Sky Cinema +24	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
303	Sky Cinema +24 HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
304	Sky Cinema Hits	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
304	Sky Cinema Hits HD	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema + Sky HD
306	Sky Cinema Family	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
306	Sky Cinema Family HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
308	Sky Cinema Passion	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
308	Sky Cinema Passion HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
310	Sky Cinema Comedy	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
310	Sky Cinema Comedy HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
312	Sky Cinema Max	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
312	Sky Cinema Max HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
313	Sky Cinema Max +1	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
313	Sky Cinema Max +1 HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
314	Sky Cinema Cult	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
314	Sky Cinema Cult HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
315	Sky Cinema Classics	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
315	Sky Cinema Classics HD	Italy	Italian originale	cinema	16:9	yes	no	Sky Cinema + Sky HD
321	Sky 3D	Italy	Italian originale	tematico	16:9	yes	no	Tutti i pacchetti + Sky HD
331	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
331	Sky Cinema 1	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
332	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
332	Sky Cinema +1	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
333	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
333	Sky Cinema +24	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
334	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
334	Sky Cinema Hits	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
336	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
336	Sky Cinema Family	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
338	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
338	Sky Cinema Passion	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
340	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
340	Sky Cinema Comedy	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
342	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
342	Sky Cinema Max	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
343	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
343	Sky Cinema Max +1	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
344	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
344	Sky Cinema Cult	Italy	Italian originale	cinema	16:9	no	no	Sky Cinema
345	Cartello promozionale Sky HD	Italy	Italian	promozionale	4:3	no	no	qualsiasi tranne Sky HD
