Candidate	Background	Original Team	Age	Hometown	Result
Kendra Todd	Real Estate Broker	Magna	25	Boynton Beach, Florida	Hired by Trump (5-19-2005)
Tana Goertz	Sales Executive	Net Worth	37	Des Moines, Iowa	Fired in the Season Finale (5-19-2005)
Craig Williams	Shoeshine Business Owner	Net Worth	37	Conley, Georgia	10 Fired in week 15 (5-5-2005)
Alex Thomason	Attorney	Magna	29	Brewster, Washington	10 Fired in week 14 (4-28-2005)
Bren Olswanger	Prosecutor	Magna	32	Memphis, Tennessee	10 Fired in week 13 (4-21-2005)
Chris Shelton	Real Estate Investor	Net Worth	21	Las Vegas, Nevada	10 Fired in week 12 (4-14-2005)
Angie McKnight	Gym Franchise Owner	Net Worth	41	Lake Balboa, California	10 Fired in week 11 (4-7-2005)
Stephanie Myers	Supply Chain Consultant	Magna	29	San Diego, California	10 Fired in week 10 (3-31-2005)
Erin Elmore	Attorney	Magna	26	Philadelphia, Pennsylvania	10 Fired in week 9 (3-24-2005)
John Gafford	Technology Firm Owner	Net Worth	32	Tampa, Florida	10 Fired in week 8 (3-10-2005)
Audrey Evans	Real Estate Agent	Net Worth	22	Salt Lake City, Utah	10 Fired in week 7 (3-3-2005)
Tara Dowdell	Senior Governor Manager	Net Worth	28	New York, New York	10 Fired in week 6 (2-24-2005)
Michael Tarshi	Real Estate Developer	Magna	25	Boston, Massachusetts	10 Fired in week 5 (2-17-2005)
Kristen Kirchner	Real Estate Financier	Net Worth	31	Los Angeles, California	10 Fired in week 4 (2-10-2005)
Danny Kastner	Marketing Technology Firm Owner	Magna	39	Boston, Massachusetts	10 Fired in week 3 (2-3-2005)
Verna Felton	Business Manager	Magna	31	Seattle, Washington	10 Quit in week 3 (2-3-2005)
Brian McDowell	Real Estate Broker	Net Worth	29	Wildwood, New Jersey	10 Fired in week 2 (1-27-2005)
