Outcome	Date	Surface	Partnered with	Opponents in Final	Score in Final
Runner-up	9 August 2004	Clay	Klaudia Jans	Nuria Llagostera Vives Marta Marrero	4–6, 3–6
Runner-up	25 April 2005	Clay	Klaudia Jans	Tatiana Perebiynis Barbora Záhlavová-Strýcová	1–6, 4–6
Runner-up	18 July 2005	Clay	Klaudia Jans	Giulia Casoni Mariya Koryttseva	6–4, 3–6, 5–7
Winner	17 February 2008	Clay	Līga Dekmeijere	Mariya Koryttseva Julia Schruff	7–5, 6–3
Runner-up	10 January 2009	Hard	Klaudia Jans	Anna-Lena Grönefeld Vania King	6–3, 5–7, [5–10]
Winner	12 April 2009	Clay	Klaudia Jans	Anabel Medina Garrigues Virginia Ruano Pascual	6–3, 6–3
Runner-up	18 October 2009	Hard	Klaudia Jans	Anna-Lena Grönefeld Katarina Srebotnik	1–6, 4–6
Runner-up	8 January 2011	Hard	Klaudia Jans	Alisa Kleybanova Anastasia Pavlyuchenkova	3–6, 5–7
Runner-up	21 May 2011	Clay	Klaudia Jans	Andrea Hlaváčková Galina Voskoboeva	6–3, 0–6, [5–10]
Winner	10 July 2011	Clay	Anabel Medina Garrigues	Natalie Grandin Vladimíra Uhlířová	6-2, 6-2
Runner-up	26 May 2012	Clay	Jie Zheng	Bethanie Mattek-Sands Sania Mirza	3-6, 2-6
Runner-up	16 September 2012	Hard (i)	Heather Watson	Tatjana Malek Kristina Mladenovic	6–7 (5–7) , 7–6 (8–6) , [7–10]
Runner-up	13 October 2013	Hard (i)	Gabriela Dabrowski	Karolína Plíšková Kristýna Plíšková	6–7 (6–8) , 4–6
