Season	Match	Result	League	Date
1971–72	Napoli-Roma	4–0	Serie A	12 December 1971
1971–72	Roma-Napoli	1–0	Serie A	2 April 1972
1972–73	Roma-Napoli	1–0	Serie A	20 October 1972
1972–73	Napoli-Roma	1–0	Serie A	18 February 1973
1973–74	Roma-Napoli	0–1	Serie A	2 December 1973
1973–74	Napoli-Roma	1–1	Serie A	24 March 1974
1974–75	Roma-Napoli	0–1	Serie A	13 October 1974
1974–75	Napoli-Roma	2–0	Serie A	9 February 1975
1975–76	Napoli-Roma	2–1	Serie A	18 January 1976
1975–76	Roma-Napoli	0–3	Serie A	2 May 1976
1976–77	Napoli-Roma	1–0	Serie A	12 December 1976
1976–77	Roma-Napoli	0–0	Serie A	10 April 1977
1977–78	Napoli-Roma	2–0	Serie A	30 October 1977
1977–78	Roma-Napoli	0–0	Serie A	5 March 1978
1978–79	Napoli-Roma	1–0	Serie A	15 October 1978
1978–79	Roma-Napoli	0–0	Serie A	11 February 1979
1979–80	Napoli-Roma	3–0	Serie A	7 October 1979
1979–80	Roma-Napoli	0–0	Serie A	3 February 1980
1980–81	Napoli-Roma	4–0	Serie A	19 October 1980
1980–81	Roma-Napoli	1–1	Serie A	8 March 1981
1981–82	Napoli-Roma	1–0	Serie A	3 January 1982
1981–82	Roma-Napoli	1–1	Serie A	2 May 1982
1982–83	Napoli-Roma	1–3	Serie A	10 October 1982
1982–83	Roma-Napoli	5–2	Serie A	20 February 1983
1983–84	Roma-Napoli	5–1	Serie A	30 October 1983
1983–84	Napoli-Roma	1–2	Serie A	11 March 1984
1984–85	Napoli-Roma	1–2	Serie A	16 December 1984
1984–85	Roma-Napoli	1–1	Serie A	28 April 1985
1985–86	Napoli-Roma	1–1	Serie A	29 September 1985
1985–86	Roma-Napoli	2–0	Serie A	26 January 1986
1986–87	Roma-Napoli	0–1	Serie A	26 October 1986
1986–87	Napoli-Roma	0–0	Serie A	15 March 1987
1987–88	Roma-Napoli	1–1	Serie A	25 October 1987
1987–88	Napoli-Roma	1–2	Serie A	6 March 1988
1988–89	Roma-Napoli	1–0	Serie A	31 December 1988
1988–89	Napoli-Roma	1–1	Serie A	14 March 1989
1989–90	Roma-Napoli	1–1	Serie A	8 October 1989
1989–90	Napoli-Roma	3–1	Serie A	18 February 1990
1990–91	Napoli-Roma	1–1	Serie A	13 January 1991
1990–91	Roma-Napoli	1–1	Serie A	19 May 1991
1991–92	Roma-Napoli	1–1	Serie A	17 November 1991
1991–92	Napoli-Roma	3–2	Serie A	5 April 1992
1992–93	Napoli-Roma	2–1	Serie A	25 October 1992
1992–93	Roma-Napoli	1–1	Serie A	21 March 1993
1993–94	Roma-Napoli	2–3	Serie A	12 September 1993
1993–94	Napoli-Roma	1–1	Serie A	30 January 1994
1994–95	Roma-Napoli	1–1	Serie A	9 November 1994
1994–95	Napoli-Roma	0–0	Serie A	9 April 1995
1995–96	Napoli-Roma	2–0	Serie A	17 December 1995
1995–96	Roma-Napoli	4–1	Serie A	21 April 1996
1996–97	Roma-Napoli	1–0	Serie A	15 December 1996
1996–97	Napoli-Roma	1–0	Serie A	11 May 1997
1997–98	Roma-Napoli	6–2	Serie A	5 October 1997
1997–98	Napoli-Roma	2–0	Serie A	22 February 1998
2000–01	Roma-Napoli	3–0	Serie A	28 January 2001
2000–01	Napoli-Roma	2–2	Serie A	10 June 2001
2007–08	Roma-Napoli	4–4	Serie A	20 October 2007
2007–08	Napoli-Roma	0–2	Serie A	9 March 2008
2008–09	Roma-Napoli	1–1	Serie A	31 August 2008
2008–09	Napoli-Roma	0–3	Serie A	25 January 2009
2009–10	Roma-Napoli	2–1	Serie A	4 October 2009
2009–10	Napoli-Roma	2–2	Serie A	28 February 2010
2010–11	Napoli-Roma	2–0	Serie A	3 October 2010
2010–11	Roma-Napoli	0–2	Serie A	12 February 2011
2011-12	Napoli-Roma	1-3	Serie A	18 December 2011
2011-12	Roma-Napoli	2-2	Serie A	28 April 2012
