Pick	Player	Team	Position	Hometown/School
1	B.J. Surhoff	Milwaukee Brewers	C	University of North Carolina
2	Will Clark	San Francisco Giants	1B	Mississippi State University
3	Bobby Witt	Texas Rangers	RHP	University of Oklahoma
4	Barry Larkin	Cincinnati Reds	SS	University of Michigan
5	Kurt Brown	Chicago White Sox	C	Glendora, CA
6	Barry Bonds	Pittsburgh Pirates	OF	Arizona State University
7	Mike Campbell	Seattle Mariners	RHP	University of Hawaii
8	Pete Incaviglia	Montreal Expos	OF	Oklahoma State University
9	Mike Poehl	Cleveland Indians	RHP	University of Texas at Austin
10	Chris Gwynn	Los Angeles Dodgers	OF	San Diego State University
11	Walt Weiss	Oakland Athletics	SS	University of North Carolina
12	Cameron Drew	Houston Astros	OF	University of New Haven
13	Jeff Bumgarner	Minnesota Twins	RHP	Richland, WA
14	Tommy Greene	Atlanta Braves	RHP	Whiteville, NC
15	Willie Fraser	California Angels	RHP	Concordia College
16	Trey McCall	Philadelphia Phillies	C	Abingdon, VA
17	Brian McRae	Kansas City Royals	SS	Bradenton, FL
18	Joe Magrane	St. Louis Cardinals	LHP	University of Arizona
19	Mike Cook	California Angels	RHP	University of South Carolina
20	Gregg Jefferies	New York Mets	SS	Millbrae, CA
21	Dan Gabriele	Boston Red Sox	RHP	Walled Lake, MI
22	Rafael Palmeiro	Chicago Cubs	OF	Mississippi State University
23	Joey Cora	San Diego Padres	SS	Vanderbilt University
24	Dave Masters	Chicago Cubs	RHP	University of California
25	Greg David	Toronto Blue Jays	OF	Naples, FL
26	Randy Nosek	Detroit Tigers	RHP	Chillicothe, MO
