Driver	Starts	Finishes	Wins	Podiums	Stage wins	Points
Sébastien Loeb	13	13	8	12	96	276
Jari-Matti Latvala	13	12	2	6	26	171
Petter Solberg	13	12	0	8	51	169
Sébastien Ogier	13	12	2	6	36	167
Dani Sordo	13	12	0	5	25	150
Mikko Hirvonen	13	11	1	2	16	126
Matthew Wilson	13	13	0	0	0	74
Henning Solberg	13	11	0	0	1	45
Federico Villagra	8	8	0	0	1	36
Kimi Räikkönen	11	8	0	0	1	25
Mads Østberg	6	6	0	0	0	18
Khalid Al Qassimi	8	6	0	0	0	12
Per-Gunnar Andersson	6	6	0	0	0	8
Jari Ketomaa	7	5	0	0	0	6
Xavier Pons	7	7	0	0	0	6
Frigyes Turán	4	2	0	0	0	4
Juha Kankkunen	1	1	0	0	0	4
Martin Prokop	7	7	0	0	1	3
Dennis Kuipers	9	8	0	0	0	2
Ken Block	7	5	0	0	0	2
Juho Hänninen	2	1	0	0	0	2
Mark van Eldik	1	1	0	0	0	2
Patrik Sandell	7	7	0	0	0	2
Andreas Mikkelsen	3	3	0	0	0	1
Armindo Araújo	7	7	0	0	0	1
Aaron Burkart	5	5	0	0	0	1
