Date	City	Opponent	Results¹	Type of game
May 28	Belgrade	Denmark	5:1	Friendly
June 11	Bern , Switzerland	Switzerland	4:0	Friendly
June 25	Belo Horizonte , Brazil	Switzerland	3:0	1950 World Cup
June 29	Porto Alegre , Brazil	Mexico	4:1	1950 World Cup
July 1	Porto Alegre , Brazil	Brazil	0:2	1950 World Cup
September 3	Stockholm , Sweden	Sweden	2:1	Friendly
September 7	Helsinki , Finland	Finland	2:3	Friendly
September 10	Helsinki , Finland	Denmark	4:1	Friendly
October 8	Wien , Austria	Austria	2:7	Friendly
November 5	Belgrade	Norway	4:0	Friendly
November 22	London, England	England	2:2	Friendly
