Year	Song	Album	Language	Composer
2004	"Oh Mahirae"	Manmadhan	Tamil	Yuvan Shankar Raja
2005	"Theepidika Theepidika"	Arinthum Ariyamalum	Tamil	Yuvan Shankar Raja
2005	"Kudakkooli Koduthachu"	Kalvanin Kadhali	Tamil	Yuvan Shankar Raja
2005	"Mila Mila"	Super	Telugu	Sandeep Chowta
2005	"Hey babu"	Devadasu	Telugu	Chakri
2006	"Golmaal"	Golmaal	Hindi	Vishal-Shekhar
2006	"Money Money"	Thimiru	Tamil	Yuvan Shankar Raja
2006	"Zindaggi Rocks"	Zindaggi Rocks	Hindi	Anu Malik
2007	"Oh..Oh..Ennanamo"	Chennai 600028	Tamil	Yuvan Shankar Raja
2007	"Naughty Naughty"	Cash	Hindi	Vishal-Shekhar
2007	"Rathraina"	Athidi	Telugu	Manisharma
2007	"Cheli cheruku"	Aadavari Matalaku Ardhalu Verule	Telugu	Yuvan Shankar Raja
2007	"Chammakuro Challa"	Munna	Telugu	Harris Jayaraj
2008	"Tu Saala"	Golmaal Returns	Hindi	Pritam
2009	"Chandni Chowk to China"	Chandni Chowk to China	Hindi	Shankar–Ehsaan–Loy
2009	"Oh Sexy Mama"	Yavarum Nalam/13B	Tamil Hindi	Shankar–Ehsaan–Loy
2009	"Dil Kalase"	Kick	Telugu	S.Thaman
2010	"Alisha"	Pyaar Impossible!	Hindi	Salim-Suleiman
2010	"By The Way" & "Behke Behke"	Aisha	Hindi	Amit Trivedi
2010	"Dil Khol Ke Let's Rock"	We Are Family	Hindi	Shankar–Ehsaan–Loy
2010	"Apna Har Din" & "Golmaal"	Golmaal 3	Hindi	Pritam
2010	"Dhatad Tatad"	Lafangey Parindey	Hindi	R. Anandh
2011	"Mit Jaaye Gum (Dum Maaro Dum)"	Dum Maaro Dum	Hindi	Pritam
2011	"Piya Kesariyo"	Hum Tum Shabana	Hindi	Sachin-Jigar
2012	"Ek Main Aur Ekk Tu"	Ek Main Aur Ekk Tu	Hindi	Amit Trivedi
2013	"Allah Duhai Hai"	Race 2	Hindi	Pritam
2013	"Dil Na Jaane Kyun"	Jayantabhai Ki Luv Story	Hindi	Sachin-Jigar
2013	"Mann Basiyo Sanwariyo"	ABCD – Any Body Can Dance	Hindi	Sachin-Jigar
