Player	Nationality	Position	From	School/Country
, Bo Lamar	United States	Guard	1977	Louisiana-Lafayette
, Jeff Lamp	United States	Guard/Forward	1987	Virginia
, Mark Landsberger	United States	Forward/Center	1979	Arizona State
, Stu Lantz	United States	Guard	1974	Nebraska
, Rudy LaRusso	United States	Forward/Center	1959	Dartmouth
, Butch Lee	United States	Guard	1979	Marquette
, Slick Leonard	United States	Guard	1956	Indiana
, Ronnie Lester	United States	Guard	1984	Iowa
, Stan Love	United States	Forward	1973	Oregon
Clyde Lovellette *	United States	Forward/Center	1953	Kansas
, Maurice Lucas	United States	Forward/Center	1985	Marquette
, Tyronn Lue	United States	Guard	1998	Nebraska
, George Lynch	United States	Forward	1993	North Carolina
, Mike Lynn	United States	Forward	1969	UCLA
