District	Incumbent	Party	First elected	Results	Candidates
Florida 1	Joe Scarborough	Republican	1994	Re-elected	Joe Scarborough (R) unopposed
Florida 2	Allen Boyd	Democratic	1996	Re-elected	Allen Boyd (D) 72% Doug Dodd (R) 28%
Florida 3	Corrine Brown	Democratic	1992	Re-elected	Corrine Brown (D) 58% Jennifer Carroll (R) 42%
Florida 5	Karen Thurman	Democratic	2002	Re-elected	Karen Thurman (D) 64% Pete Enwall (R) 36%
Florida 6	Cliff Stearns	Republican	1988	Re-elected	Cliff Stearns (R) unopposed
Florida 7	John Mica	Republican	1992	Re-elected	John Mica (R) 63% Dan Vaughen (D) 37%
Florida 8	Bill McCollum	Republican	1980	Retired to run for U.S. Senate Republican hold	Ric Keller (R) 51% Linda Chapin (D) 49%
Florida 9	Michael Bilirakis	Republican	1982	Re-elected	Michael Bilirakis (R) 81.9% Jon Duffey (Ref) 18.1%
Florida 11	Jim Davis	Democratic	1996	Re-elected	Jim Davis (D) 84.6% Charlie Westlake (L) 15.4%
Florida 12	Charles Canady	Republican	1992	Retired Republican hold	Adam Putnam (R) 57% Mike Stedem (D) 43%
Florida 13	Dan Miller	Republican	1992	Re-elected	Dan Miller (R) 64% Daniel Dunn (D) 36%
Florida 14	Porter Goss	Republican	1988	Re-elected	Porter Goss (R) 85.2% Sam Farling (Ref) 14.8%
Florida 17	Carrie Meek	Democratic	1992	Re-elected	Carrie Meek (D) unopposed
Florida 18	Ileana Ros-Lehtinen	Republican	1989	Re-elected	Ileana Ros-Lehtinen (R) unopposed
Florida 19	Robert Wexler	Democratic	1996	Re-elected	Robert Wexler (D) 72% Morris Kent Thompson (R) 28%
Florida 20	Peter Deutsch	Democratic	1992	Re-elected	Peter Deutsch (D) unopposed
Florida 21	Lincoln Diaz-Balart	Republican	1992	Re-elected	Lincoln Diaz-Balart (R) unopposed
Florida 22	Clay Shaw	Republican	1980	Re-elected	Clay Shaw (R) 50% Elaine Bloom (D) 50%
