Country	Contestant	Age	Height (cm)	Height (ft)	Hometown
Argentina	Yanina Ruiz	24	175	5'9"	Morón
Bahamas	Nikie Severe	26	170	5'7"	Freeport
Bolivia	Flavia Foianini	20	176	5'9.5"	Santa Cruz
Brazil	Mariana Notarangelo	23	175	5'9"	Rio de Janeiro
Canada	Mariana Valente	24	175	5'9"	Toronto
Colombia	Alejandra Tovar	23	170	5'7"	Neiva
Costa Rica	Angie Alfaro	18	174	5'8.5"	Alajuela
Dominican Republic	Audris Rijo	24	170	5'7"	Santo Domingo
El Salvador	Michelle Bustamante	19	175	5'9"	La Libertad
Guatemala	Jessana Paté	22	177	5'9.5"	Guatemala City
Honduras	Blaise Masey	20	173	5'8"	San Pedro Sula
Paraguay	Viviana Benítez	24	172	5'7.5"	San Juan Bautista
Peru	Danissa Zurek	19	173	5'8"	Lima
Poland	Iwona Wyrzykowska	19	171	5'7.5"	Lodz
Puerto Rico	Yerlyn Rodríguez	23	178	5'10"	Mayagüez
Spain	Ara Jurado Calero	21	181	6'0"	Peñarroya
United States	Amanda Delgado	20	176	5'9.5"	Upland
Uruguay	Cinthia Furtado	26	172	5'7.5"	Durazno
