Year	Rank	Games	Win%	Postseason
1982	5	80	.388	Did not qualify
1983	6	100	.434	Did not qualify
1984	1	100	.510	Winner
1985	2	110	.536	Not held
1986	5	108	.490	Did not qualify
1987	3	108	.524	Did not qualify
1988	3	108	.537	Did not qualify
1989	7	120	.421	Did not qualify
1990	6	120	.388	Did not qualify
1991	4	126	.496	Semi-playoff
1992	1	126	.563	Winner
1993	6	126	.496	Did not qualify
1994	6	126	.456	Did not qualify
1995	2	126	.560	Runner-up
1996	5	126	.476	Did not qualify
1997	8	126	.385	Did not qualify
1998	8	126	.410	Did not qualify
1999	2	132	.591	Runner-up
2000	5	133	.504	Semi-playoff
2001	8	133	.457	Did not qualify
2002	8	133	.265	Did not qualify
2003	8	133	.300	Did not qualify
2004	8	133	.410	Did not qualify
2005	5	126	.464	Did not qualify
2006	7	126	.407	Did not qualify
2007	7	126	.447	Did not qualify
2008	3	126	.548	Semi-playoff
2009	4	133	.496	Semi-playoff
2010	4	133	.519	Semi-playoff
2011	3	133	.563	Playoff
2012	4	133	.512	Playoff
2013	5	128	.532	Did not qualify
