POV character	Game	Clash	Storm	Feast	Dance
Bran Stark	7	7	4	–	3
Catelyn Stark	11	7	7	–	–
Daenerys Targaryen	10	5	6	–	10
Eddard Stark	15	–	–	–	–
Jon Snow	9	8	12	–	13
Arya Stark	5	10	13	3	2
Tyrion Lannister	9	15	11	–	12
Sansa Stark	6	8	7	3	–
Davos Seaworth	–	3	6	–	4
Theon Greyjoy	–	6	–	–	7
Jaime Lannister	–	–	9	7	1
Samwell Tarly	–	–	5	5	–
Cersei Lannister	–	–	–	10	2
Brienne of Tarth	–	–	–	8	–
Aeron Greyjoy	–	–	–	2	–
Areo Hotah	–	–	–	1	1
Asha Greyjoy	–	–	–	1	3
Arys Oakheart	–	–	–	1	–
Victarion Greyjoy	–	–	–	2	2
Arianne Martell	–	–	–	2	–
Quentyn Martell	–	–	–	–	4
Jon Connington	–	–	–	–	2
Melisandre	–	–	–	–	1
Barristan Selmy	–	–	–	–	4
Prologue/Epilogue	1/–	1/–	1/1	1/–	1/1
Sum chapters (POV)	73 (9)	70 (10)	82 (12)	46 (13)	73 (18)
