Date	Opponent	Score	Loss	Attendance	Record
August 1	Twins	3 - 1	Lohse (3-4)	26,069	50-58
August 2	Twins	9 - 4	Carpenter (7-9)	26,849	50-59
August 3	Orioles	10 - 1	Mercedes (5-13)	20,115	51-59
August 4	Orioles	2 - 1	Ponson (5-7)	22,322	52-59
August 5	Orioles	5 - 4	Towers (6-7)	27,724	53-59
August 7	@ Mariners	5 - 4 (14)	DeWitt (0-1)	45,636	53-60
August 8	@ Mariners	12 - 4	Carpenter (7-10)	45,450	53-61
August 9	@ Mariners	6 - 5	García (13-4)	45,670	54-61
August 10	@ Angels	8 - 7	Lyon (1-1)	30,484	54-62
August 11	@ Angels	7 - 6 (10)	Levine (5-7)	27,927	55-62
August 12	@ Angels	6 - 5	Plesac (3-4)	19,129	55-63
August 14	Athletics	6 - 3	Isringhausen (4-3)	25,121	56-63
August 15	Athletics	5 - 2	Zito (8-8)	23,135	57-63
August 16	Athletics	8 - 4	Lyon (1-2)	30,062	57-64
August 17	Rangers	11 - 3	Oliver (9-8)	22,384	58-64
August 18	Rangers	12 - 5	Koch (2-4)	26,092	58-65
August 19	Rangers	8 - 4	Carpenter (7-11)	30,336	58-66
August 20	@ Twins	3 - 2	Mays (12-12)	16,032	59-66
August 21	@ Twins	7 - 5	Cressend (2-2)	13,023	60-66
August 22	@ Twins	6 - 3	Loaiza (9-10)	15,303	60-67
August 23	@ Twins	6 - 2	Lohse (4-6)	16,482	61-67
August 24	@ Orioles	5 - 0	Johnson (10-9)	43,606	62-67
August 25	@ Orioles	9 - 0	Maduro (2-4)	42,260	63-67
August 26	@ Orioles	5 - 1	Mercedes (7-15)	37,994	64-67
August 28	@ Yankees	4 - 0	Loaiza (9-11)	37,450	64-68
August 29	@ Yankees	3 - 2	Hitchcock (3-3)	36,855	65-68
August 30	@ Yankees	5 - 4 (11)	Eyre (0-1)	42,537	65-69
August 31	Tigers	4 - 3	Borbón (2-4)	22,383	65-70
