Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1953 (26th)	Genghis Khan	Genghis Khan	Manuel Conde	Not Nominated
1956 (29th)	Anak Dalita	Anak Dalita	Lamberto V. Avellana	Not Nominated
1961 (34th)	The Moises Padilla Story	The Moises Padilla Story	Gerardo de León	Not Nominated
1967 (40th)	Because of a Flower	Dahil sa Isang Bulaklak	Luis Nepomuceno	Not Nominated
1976 (49th)	Ganito Kami Noon, Paano Kayo Ngayon	Ganito Kami Noon, Paano Kayo Ngayon	Eddie Romero	Not Nominated
1984 (57th)	Of the Flesh	Karnal	Marilou Diaz-Abaya	Not Nominated
1985 (58th)	My Country	Bayan Ko: Kapit sa Patalim	Lino Brocka	Not Nominated
1995 (68th)	Harvest Home	Inagaw Mo ang Lahat sa Akin	Carlos Sigiuon-Reyna	Not Nominated
1996 (69th)	Dead Sure	Segurista	Tikoy Aguiluz	Not Nominated
1997 (70th)	Milagros	Milagros	Marilou Diaz-Abaya	Not Nominated
1998 (71st)	In the Navel of the Sea	Sa Pusod ng Dagat	Marilou Diaz-Abaya	Not Nominated
1999 (72nd)	The Kite	Saranggola	Gil Portes	Not Nominated
2000 (73rd)	Anak	Anak	Rory Quintos	Not Nominated
2001 (74th)	In the Bosom of the Enemy	Gatas... Sa Dibdib ng Kaaway	Gil Portes	Not Nominated
2002 (75th)	Small Voices	Mga Munting Tinig	Gil Portes	Not Nominated
2003 (76th)	Dekada '70	Dekada '70	Chito Roño	Not Nominated
2004 (77th)	Crying Ladies	Crying Ladies	Mark Meily	Not Nominated
2006 (79th)	The Blossoming of Maximo Oliveros	Ang Pagdadalaga ni Maximo Oliveros	Auraeus Solito	Not Nominated
2007 (80th)	Donsol	Donsol	Adolfo Alix, Jr.	Not Nominated
2008 (81st)	Ploning	Ploning	Dante Nico Garcia	Not Nominated
2009 (82nd)	Grandfather is Dead	Ded na si Lolo	Soxie Topacio	Not Nominated
2010 (83rd)	Noy	Noy	Dondon Santos	Not Nominated
2011 (84th)	The Woman in the Septic Tank	Ang Babae sa Septic Tank	Marlon Rivera	Not Nominated
2012 (85th)	Bwakaw	Bwakaw	Jun Robles Lana	Not Nominated
2013 (86th)	Transit	Transit	Hannah Espia	TBD
