County	McCain#	McCain%	Obama#	Obama%	Barr#	Barr%	Nader#	Nader%	McKinney#	McKinney%	Others#	Others%	Total ballots	Total eligible registration	Voter turnout
Apache	8551	34.3%	15390	61.8%	111	0.4%	109	0.4%	75	0.3%	26	0.1%	24907	41425	60.13%
Cochise	29026	58.8%	18943	38.4%	371	0.8%	356	0.7%	90	0.2%	34	0.1%	49390	70715	69.84%
Coconino	22186	40.4%	31433	57.3%	267	0.5%	309	0.6%	117	0.2%	32	0.1%	54861	69855	78.54%
Gila	14095	62.0%	7884	34.7%	150	0.7%	156	0.7%	31	0.1%	17	0.1%	22717	31132	72.97%
Graham	8376	68.8%	3487	28.7%	60	0.5%	56	0.5%	23	0.2%	5	0.0%	12170	17282	70.42%
Greenlee	1712	57.7%	1165	39.3%	16	0.5%	17	0.6%	3	0.1%	0	0.0%	2968	4337	68.43%
La Paz	3509	61.9%	1929	34.0%	39	0.7%	53	0.9%	14	0.2%	8	0.1%	5671	8195	69.20%
Maricopa	746448	54.0%	602166	43.6%	7605	0.6%	6095	0.4%	1799	0.1%	849	0.1%	1380571	1730886	79.76%
Mohave	44333	64.3%	22092	32.0%	433	0.6%	561	0.8%	111	0.2%	75	0.1%	68930	105200	65.52%
Navajo	19761	54.3%	15579	42.8%	158	0.4%	182	0.5%	70	0.2%	50	0.1%	36366	58528	62.13%
Pima	182406	45.9%	206254	51.9%	1923	0.5%	1995	0.5%	683	0.2%	167	0.0%	397503	496667	80.03%
Pinal	59421	56.0%	44254	41.7%	530	0.5%	562	0.5%	116	0.1%	0	0.0%	106095	145704	72.82%
Santa Cruz	4518	33.4%	8683	64.1%	49	0.4%	35	0.3%	17	0.1%	1	0.0%	13542	21287	63.62%
Yavapai	61192	60.6%	36889	36.6%	638	0.6%	638	0.6%	185	0.2%	106	0.1%	100904	118923	84.85%
Yuma	24577	55.5%	18559	41.9%	205	0.5%	177	0.4%	72	0.2%	25	0.1%	44256	67315	65.74%
Total	1230111	53.0%	1034707	44.6%	12555	0.5%	11301	0.5%	3406	0.1%	1395	0.1%	2230851	2987451	77.69%
