Date	Venue	Opponents	Score	Comp	Attendance
2005-04-11	Stadion	Häcken	2-1	Allsvenskan	12 823
2005-04-19	Örjans Vall	Halmstad	1-3	Allsvenskan	7 038
2005-04-25	Stadion	ÖIS	2-2	Allsvenskan	10 507
2005-05-02	Borås Arena	Elfsborg	2-1	Allsvenskan	8 933
2005-05-09	Stadion	Gefle	3-1	Allsvenskan	10 310
2005-05-18	Söderstadion	Hammarby	1-2	Allsvenskan	15 322
2005-05-23	Stadion	Assyriska	3-1	Allsvenskan	12 114
2005-05-29	Fredriksskans	Kalmar	2-0	Allsvenskan	7 185
2005-06-13	Råsunda	Göteborg	0-0	Allsvenskan	16 771
2005-06-16	Malmö Stadion	Malmö	3-1	Allsvenskan	20 135
2005-06-20	Råsunda	Helsingborg	5-2	Allsvenskan	13 907
2005-06-27	Landskrona IP	Landskrona	2-0	Allsvenskan	5 257
2005-07-11	Idrottsparken	Sundsvall	1-1	Allsvenskan	7 741
2005-07-18	Stadion	Sundsvall	4-0	Allsvenskan	12 878
2005-07-27	Stadion	Landskrona	0-1	Allsvenskan	12 340
2005-08-01	Olympia	Helsingborg	0-2	Allsvenskan	16 000
2005-08-04	Råsunda	Hammarby	2-2	Allsvenskan	27 108
2005-08-14	Strömvallen	Gefle	3-1	Allsvenskan	7 198
2005-08-21	Stadion	Kalmar	3-1	Allsvenskan	12 912
2005-08-28	Stadion	Assyriska	2-0	Allsvenskan	5 755
2005-09-12	Stadion	Malmö	2-0	Allsvenskan	14 181
2005-09-19	Ullevi	Göteborg	3-1	Allsvenskan	25 438
2005-09-25	Rambergsvallen	Häcken	0-1	Allsvenskan	3 177
2005-10-03	Stadion	Halmstad	6-1	Allsvenskan	13 022
2005-10-17	Gamla Ullevi	ÖIS	0-0	Allsvenskan	9 293
2005-10-23	Stadion	Elfsborg	8-1	Allsvenskan	14 102
