Season	Player	School	Position	Class
2003–04	Alana Beard Category:Articles with hCards	Duke	Guard	Senior
2004–05	Seimone Augustus Category:Articles with hCards	LSU	Guard	Junior
2005–06	Seimone Augustus Category:Articles with hCards (2)	LSU	Guard	Senior
2006–07	Candace Parker Category:Articles with hCards	Tennessee	Center	Junior
2007–08	Candace Parker Category:Articles with hCards (2)	Tennessee	Center	Senior
2008–09	Maya Moore Category:Articles with hCards	Connecticut	Forward	Sophomore
2009–10	Tina Charles Category:Articles with hCards	Connecticut	Center	Senior
2010–11	Maya Moore Category:Articles with hCards (2)	Connecticut	Forward	Senior
2011–12	Brittney Griner Category:Articles with hCards	Baylor	Center	Junior
2012–13	Brittney Griner Category:Articles with hCards (2)	Baylor	Center	Senior
