Season	Series	Team	Races	Wins	F/Laps	Podiums	Points	Position
2007	Formula Renault 2.0 NEC	Motopark Academy	15	0	0	0	97	10th
2007	Formula Renault 2.0 Eurocup	Motopark Academy	2	0	0	0	0	NC
2008	Formula Renault 2.0 Eurocup	Motopark Academy	14	0	0	0	10	18th
2008	Formula Renault 2.0 NEC	Motopark Academy	14	0	0	5	206	6th
2008	Portuguese Formula Renault 2.0 Winter Series	Motopark Academy	2	0	0	0	4	18th
2009	Formula Renault 2.0 Eurocup	Motopark Academy	8	0	0	1	32	9th
2009	Formula Renault 2.0 NEC	Motopark Academy	10	0	0	1	115	14th
2009	ADAC GT Masters	Argo Racing	10	0	1	3	35	11th
2010	Porsche Supercup	VERVA Racing Team	10	0	0	0	56	10th
2010	ADAC GT Masters	Abt Sportsline	10	2	0	4	42	8th
2011	Formula 3 Euroseries	STAR Racing Team	18	0	0	0	29	12th
