Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 16, 1973	at Cleveland Browns	L 14–24	0–1	Cleveland Municipal Stadium	74303
2	September 23, 1973	New York Jets	L 10–34	0–2	Memorial Stadium	55942
3	September 30, 1973	New Orleans Saints	W 14–10	1–2	Memorial Stadium	52293
4	October 7, 1973	at New England Patriots	L 16–24	1–3	Schaeffer Stadium	57044
5	October 14, 1973	at Buffalo Bills	L 13–31	1–4	Rich Stadium	78875
6	October 21, 1973	at Detroit Lions	W 29–27	2–4	Tiger Stadium	48058
7	October 28, 1973	Oakland Raiders	L 21–34	2–5	Memorial Stadium	59008
8	November 4, 1973	Houston Oilers	L 27–31	2–6	Memorial Stadium	52707
9	November 11, 1973	at Miami Dolphins	L 0–44	2–7	Miami Orange Bowl	60332
10	November 18, 1973	at Washington Redskins	L 14–22	2–8	RFK Stadium	52675
11	November 25, 1973	Buffalo Bills	L 17–24	2–9	Memorial Stadium	52250
12	December 2, 1973	at New York Jets	L 17–20	2–10	Shea Stadium	51167
13	December 9, 1973	Miami Dolphins	W 16–3	3–10	Memorial Stadium	58446
