No. in series	Title	Directed by	Written by	Original air date (U.S.)	Original air date (International)
2	"The Creeping Creatures"	Curt Geda	Jed Elinoff Scott Thomas	July19,2010	March13,2011 (Latin America)
3	"The Secret of the Ghost Rig"	Victor Cook	Michelle Lamoreaux Robert Lamoreaux Mitch Watson	July26,2010	March20,2011 (Latin America)
4	"Revenge of the Man Crab"	Victor Cook	Adam Beechen	August2,2010	March27,2011 (Latin America)
5	"The Song of Mystery"	Curt Geda	Paul Rugg	August9,2010	April3,2011 (Latin America)
6	"The Legend of Alice May"	Victor Cook	Mitch Watson	August16,2010	April10,2011 (Latin America)
7	"In Fear of the Phantom"	Lauren Montgomery	Mark Banker Mitch Watson	August23,2010	April17,2011 (Latin America)
8	"The Grasp of the Gnome"	Victor Cook	John P. McCann Mitch Watson	August30,2010	April24,2011 (Latin America)
9	"Battle of the Humungonauts"	Curt Geda	Roger Eschbacher	September6,2010	May1,2011 (Latin America)
10	"Howl of the Fright Hound"	Victor Cook	Brat Jennett	October4,2010	May8,2011 (Latin America)
11	"The Secret Serum"	Curt Geda	Jed Elinoff Scott Thomas	October11,2010	May15,2011 (Latin America)
12	"The Shrieking Madness"	Curt Geda	Jed Elinoff Scott Thomas	October18,2010	May22,2011 (Latin America)
13	"When the Cicada Calls"	Victor Cook	Mitch Watson Derrick J. Wyatt	October25,2010	May29,2011 (Latin America)
14	"Mystery Solvers Club State Finals"	Victor Cook	Mitch Watson	May3,2011	March19,2011 (Canada) June5,2011 (Latin America)
15	"The Wild Brood"	Curt Geda	Roger Eschbacher	May10,2011	March15,2011 (Canada) June12,2011 (Latin America)
16	"Where Walks Aphrodite"	Victor Cook	Bob White	May17,2011	March16,2011 (Canada) June19,2011 (Latin America)
17	"Escape From Mystery Manor"	Curt Geda	Brat Jennett	May24,2011	March17,2011 (Canada) June26,2011 (Latin America)
18	"The Dragon's Secret"	Victor Cook	Jed Elinoff Scott Thomas	May31,2011	March18,2011 (Canada) July3,2011 (Latin America)
19	"Nightfright"	Curt Geda	Paul Rugg	June7,2011	March24,2011 (Canada) July10,2011 (Latin America)
20	"The Siren's Song"	Victor Cook	Roger Eschbacher	June14,2011	May2,2011 (Canada) July17,2011 (Latin America)
21	"Menace of the Manticore"	Curt Geda	Adam Beechen	June21,2011	May8,2011 (Canada) July24,2011 (Latin America)
22	"Attack of the Headless Horror"	Curt Geda	Adam Beechen	June28,2011	May16,2011 (Canada) August7,2011 (Latin America)
23	"A Haunting in Crystal Cove"	Curt Geda	Mitch Watson	July5,2011	May23,2011 (Canada) August14,2011 (Latin America)
24	"Dead Justice"	Victor Cook	Jed Elinoff Scott Thomas	July12,2011	May28,2011 (Canada) August21,2011 (Latin America)
