Player	Country	Year(s) won	Total	To par	Finish
Ben Crenshaw	United States	1984	284	–4	T3
Seve Ballesteros	Spain	1980 , 1983	285	–3	T5
Tom Watson	United States	1977 , 1981	290	+2	T14
Jack Nicklaus	United States	1963 , 1965 , 1966 , 1984 , 1975 , 1986	291	+3	18
Bernhard Langer	West Germany	1985	293	+5	T26
Larry Mize	United States	1987	293	+5	T26
Fuzzy Zoeller	United States	1979	293	+5	T26
Tommy Aaron	United States	1973	298	+10	T38
Charles Coody	United States	1971	298	+10	T38
Raymond Floyd	United States	1976	298	+10	T38
George Archer	United States	1969	298	+12	T43
