Constituency No.	Vidhan Sabha Constituency	Reservation for SC/ST	District	Lok Sabha
201	Dumraon (Vidhan Sabha constituency)	None	Buxar	33 Buxar
202	Rajpur (Vidhan Sabha constituency)	SC	Buxar	33 Buxar
203	Ramgarh, Kaimur (Vidhan Sabha constituency)	None	Kaimur	33 Buxar
204	Mohania (Vidhan Sabha constituency)	SC	Kaimur	34 Sasaram (SC)
205	Bhabua (Vidhan Sabha constituency)	None	Kaimur	34 Sasaram (SC)
206	Chainpur (Vidhan Sabha constituency)	None	Kaimur	34 Sasaram (SC)
207	Chenari (Vidhan Sabha constituency)	SC	Rohtas	34 Sasaram (SC)
208	Sasaram (Vidhan Sabha constituency)	None	Rohtas	34 Sasaram (SC)
209	Kargahar (Vidhan Sabha constituency)	None	Rohtas	34 Sasaram (SC)
210	Dinara (Vidhan Sabha constituency)	None	Rohtas	33 Buxar
211	Nokha (Vidhan Sabha constituency)	None	Rohtas	35 Karakat
212	Dehri (Vidhan Sabha constituency)	None	Rohtas	35 Karakat
213	Karakat (Vidhan Sabha constituency)	None	Rohtas	35 Karakat
214	Arwal (Vidhan Sabha constituency)	None	Arwal	36 Jahanabad
215	Kurtha (Vidhan Sabha constituency)	None	Arwal	36 Jahanabad
216	Jehanabad (Vidhan Sabha constituency)	None	Jehanabad	36 Jahanabad
217	Ghosi (Vidhan Sabha constituency)	None	Jehanabad	36 Jahanabad
218	Makhdumpur (Vidhan Sabha constituency)	SC	Jehanabad	36 Jahanabad
219	Goh (Vidhan Sabha constituency)	None	Aurangabad	35 Karakat
220	Obra (Vidhan Sabha constituency)	None	Aurangabad	35 Karakat
221	Nabinagar (Vidhan Sabha constituency)	None	Aurangabad	35 Karakat
222	Kutumba (Vidhan Sabha constituency)	SC	Aurangabad	37 Aurangabad
223	Aurangabad, Bihar (Vidhan Sabha constituency)	None	Aurangabad	37 Aurangabad
224	Rafiganj (Vidhan Sabha constituency)	None	Aurangabad	37 Aurangabad
225	Gurua (Vidhan Sabha constituency)	None	Gaya	37 Aurangabad
226	Sherghati (Vidhan Sabha constituency)	None	Gaya	38 Gaya (SC)
227	Imamganj (Vidhan Sabha constituency)	SC	Gaya	37 Aurangabad
228	Barachatti (Vidhan Sabha constituency)	SC	Gaya	38 Gaya (SC)
229	Bodh Gaya (Vidhan Sabha constituency)	SC	Gaya	38 Gaya (SC)
230	Gaya Town (Vidhan Sabha constituency)	None	Gaya	38 Gaya (SC)
231	Tikari (Vidhan Sabha constituency)	None	Gaya	37 Aurangabad
232	Belaganj (Vidhan Sabha constituency)	None	Gaya	38 Gaya (SC)
233	Atri (Vidhan Sabha constituency)	None	Gaya	36 Jahanabad
234	Wazirganj (Vidhan Sabha constituency)	None	Gaya	38 Gaya (SC)
235	Rajauli (Vidhan Sabha constituency)	SC	Nawada	39 Nawada
236	Hisua (Vidhan Sabha constituency)	None	Nawada	39 Nawada
237	Nawada (Vidhan Sabha constituency)	None	Nawada	39 Nawada
238	Gobindpur (Vidhan Sabha constituency)	None	Nawada	39 Nawada
239	Warsaliganj (Vidhan Sabha constituency)	None	Nawada	39 Nawada
240	Sikandra (Vidhan Sabha constituency)	SC	Jamui	40 Jamui (SC)
241	Jamui (Vidhan Sabha constituency)	None	Jamui	40 Jamui (SC)
242	Jhajha (Vidhan Sabha constituency)	None	Jamui	40 Jamui (SC)
