Date	Visitor	Result	Score	Home	Record	Attendance
September 17	New York Yanks	L	21-17	San Francisco 49ers	0-1-0	29,600
September 24	Chicago Bears	L	32-20	San Francisco 49ers	0-2-0	35,558
October 1	Los Angeles Rams	L	35-14	San Francisco 49ers	0-3-0	27,262
October 8	San Francisco 49ers	L	24-7	Detroit Lions	0-4-0	17,337
October 12	San Francisco 49ers	L	29-24	New York Yanks	0-5-0	5,740
October 22	Detroit Lions	W	28-27	San Francisco 49ers	1-5-0	27,350
October 29	Baltimore Colts	W	17-14	San Francisco 49ers	2-5-0	14,800
November 5	San Francisco 49ers	L	28-21	Los Angeles Rams	2-6-0	15,952
November 12	San Francisco 49ers	L	34-14	Cleveland Browns	2-7-0	28,786
November 19	San Francisco 49ers	L	17-0	Chicago Bears	2-8-0	35,105
November 26	San Francisco 49ers	L	25-21	Green Bay Packers	2-9-0	13,186
December 10	Green Bay Packers	W	30-14	San Francisco 49ers	3-9-0	19,204
