District	Representative	Party	Residence	First Elected	Term Limited
1	Craig Newbold	Republican	Columbiana	2010	2018
2	Andrew Brenner	Republican	Powell	2010	2018
3	Ron Amstutz	Republican	Wooster	2008	2016
4	Matt Huffman	Republican	Lima	2006	2014
5	Gerald Stebelton	Republican	Lancaster	2006	2014
6	Randy Gardner	Republican	Bowling Green	2008 (Appt.)	2016
7	Kenny Yuko	Democrat	Richmond Heights	2004	2012
8	Armond Budish	Democrat	Beachwood	2006	2014
9	Barbara Boyd	Democrat	Cleveland Heights	2006	2014
10	Bill Patmon	Democrat	Cleveland	2010	2018
11	Sandra Williams	Democrat	Cleveland	2006	2014
12	John E. Barnes, Jr.	Democrat	Cleveland	2010	2018
13	Nickie Antonio	Democrat	Lakewood	2010	2018
14	Michael Foley	Democrat	Cleveland	2006 (Appt.)	2014
15	Timothy J. DeGeeter	Democrat	Parma	2003 (Appt.)	2012
16	Nan Baker	Republican	Westlake	2008	2016
17	Marlene Anielski	Republican	Walton Hills	2010	2018
18	Mike Dovilla	Republican	Berea	2010	2018
19	Anne Gonzales	Republican	Westerville	2010	2018
20	Nancy Garland	Democrat	New Albany	2008	2016
21	Mike Duffey	Republican	Worthington	2010	2018
22	John Patrick Carney	Democrat	Clintonville	2008	2016
23	Cheryl Grossman	Republican	Grove City	2008	2016
24	Ted Celeste	Democrat	Grandview Heights	2006	2014
25	Michael Stinziano	Democrat	Columbus	2010	2018
26	Tracy Maxwell Heard	Democrat	Columbus	2006	2014
27	W. Carlton Weddington	Democrat	Columbus	2008	2016
28	Connie Pillich	Democrat	Montgomery	2008	2016
29	Lou Blessing	Republican	Cincinnati	2004	2012
30	Louis Terhar	Republican	Columbus	2011 (Appt.)	2020
31	Denise Driehaus	Democrat	Cincinnati	2008	2016
32	Dale Mallory	Democrat	Cincinnati	2006	2014
33	Alicia Reece	Democrat	Cincinnati	2010 (Appt.)	2018
34	Peter Stautberg	Republican	Anderson Twp.	2008	2016
35	Ron Maag	Republican	Lebanon	2008	2016
36	Michael Henne	Republican	Clayton	2010	2018
37	Jim Butler	Republican	Oakwood	2011 (Appt.)	2020
38	Terry Blair	Republican	Washington Twp.	2008	2016
39	Clayton Luckie	Democrat	Dayton	2006 (Appt.)	2014
40	Roland Winburn	Democrat	Harrison Twp.	2008	2016
41	Lynn Slaby	Republican	Copley	2010	2018
42	Kristina Roegner	Republican	Hudson	2010	2018
43	Todd McKenney	Republican	Akron	2010	2018
44	Vernon Sykes	Democrat	Akron	2006	2014
45	Zack Milkovich	Democrat	Akron	2010	2018
46	Barbara Sears	Republican	Sylvania	2008 (Appt.)	2016
47	Teresa Fedor	Democrat	Toledo	2010	2018
48	Michael Ashford	Democrat	Toledo	2010	2018
49	Matt Szollosi	Democrat	Toledo	2006	2014
50	Christina Hagan	Republican	Marlboro Township	2011 (Appt.)	2020
51	Kirk Schuring	Republican	Canton	2010	2018
52	Stephen Slesnick	Democrat	Canton	2008 (Appt.)	2016
53	Timothy Derickson	Republican	Hanover Twp	2008	2016
54	Courtney Combs	Republican	Hamilton	2004 (Appt.)	2012
55	Margaret Conditt	Republican	Liberty Township	2011 (Appt.)	2020
56	Dan Ramos	Democrat	Lorain	2010	2018
57	Matt Lundy	Democrat	Elyria	2006	2014
58	Terry Boose	Republican	Norwalk	2008	2016
59	Ron Gerberry	Democrat	Austintown	2007 (Appt.)	2016
60	Bob Hagan	Democrat	Youngstown	2006	2014
61	Mark Okey	Democrat	Carrollton	2006	2014
62	Lorraine Fende	Democrat	Willowick	2004	2012
63	Ron Young	Republican	LeRoy Township	2010	2018
64	Tom Letson	Democrat	Warren	2006	2014
65	Sean O'Brien	Democrat	Niles	2010	2018
66	Joe Uecker	Republican	Loveland	2004	2012
67	Peter Beck	Republican	Mason	2009 (Appt.)	2018
68	Kathleen Clyde	Democrat	Kent	2010	2018
69	William G. Batchelder	Republican	Medina	2006	2014
70	Jarrod Martin	Republican	Beavercreek	2008	2016
71	Jay Hottinger	Republican	Newark	2006	2014
72	Ross McGregor	Republican	Springfield	2005 (Appt.)	2014
73	Jay Goyal	Democrat	Mansfield	2006	2014
74	Bruce Goodwin	Republican	Defiance	2006	2014
75	Lynn Wachtmann	Republican	Napoleon	2006	2014
76	Robert Sprague	Republican	Findlay	2011 (Appt.)	2020
77	Jim Buchy	Republican	Greenville	2011 (Appt.)	2020
78	John Adams	Republican	Sidney	2006	2014
79	Richard Adams	Republican	Troy	2008	2016
80	Dennis Murray	Democrat	Sandusky	2008	2016
81	Rex Damschroder	Republican	Fremont	2010	2018
82	Jeffrey McClain	Republican	Upper Sandusky	2008	2016
83	David Burke	Republican	Marysville	2008	2016
84	Bob Hackett	Republican	London	2008	2016
85	Bob Peterson	Republican	Sabina	2010	2018
86	Cliff Rosenberger	Republican	Clarksville	2010	2018
87	John Carey	Republican	Wellston	2010	2018
88	Danny Bubp	Republican	West Union	2004	2012
89	Terry Johnson	Republican	Portsmouth	2010	2018
90	Margaret Ruhl	Republican	Mount Vernon	2008	2016
91	Bill Hayes	Republican	Pataskala	2010	2018
92	Debbie Phillips	Democrat	Athens	2008	2016
93	Andy Thompson	Republican	Marietta	2010	2018
94	Troy Balderson	Republican	Muskingum	2008	2016
95	Lou Gentile	Democrat	Steubenville	2010	2018
96	Al Landis	Republican	Dover	2010	2018
97	Dave Hall	Republican	Killbuck	2008	2016
98	Richard Hollington	Republican	Chagrin Falls	2011 (Appt.)	2020
