District	Incumbent	Party	First elected	Results	Candidates
Ohio 1	Steve Chabot	Republican	1994	Re-elected	Steve Chabot (R) 53% Roxanne Qualls (D) 47%
Ohio 3	Tony P. Hall	Democratic	1978	Re-elected	Tony P. Hall (D) 69% John Shondel (R) 31%
Ohio 4	Michael G. Oxley	Republican	1981	Re-elected	Michael G. Oxley (R) 64% Paul McClain (D) 36%
Ohio 5	Paul E. Gillmor	Republican	1988	Re-elected	Paul E. Gillmor (R) 67% Susan Darrow (D) 33%
Ohio 6	Ted Strickland	Democratic	1992	Re-elected	Ted Strickland (D) 57% Nancy Hollister (R) 43%
Ohio 7	David L. Hobson	Republican	1990	Re-elected	David L. Hobson (R) 68% Donald Minor (D) 28%
Ohio 8	John A. Boehner	Republican	1990	Re-elected	John A. Boehner (R) 71% John Griffin (D) 29%
Ohio 9	Marcia C. Kaptur	Democratic	1982	Re-elected	Marcia C. Kaptur (D) 81% Edward Emery (R) 19%
Ohio 10	Dennis J. Kucinich	Democratic	1996	Re-elected	Dennis J. Kucinich (D) 67% Joe Slovenec (R) 33%
Ohio 12	John Kasich	Republican	1982	Re-elected	John Kasich (R) 67% Edward S. Brown (D) 33%
Ohio 13	Sherrod Brown	Democratic	1992	Re-elected	Sherrod Brown (D) 62% Crace Drake (R) 38%
Ohio 14	Tom Sawyer	Democratic	1986	Re-elected	Tom Sawyer (D) 63% Tom Watkins (R) 37%
Ohio 15	Deborah D. Pryce	Republican	1992	Re-elected	Deborah D. Pryce (R) 60% Adam Miller (D) 27%
Ohio 16	Ralph S. Regula	Republican	1972	Re-elected	Ralph S. Regula (R) 64% Peter Ferguson (D) 36%
Ohio 17	James Traficant	Democratic	1984	Re-elected	James Traficant (D) 68% Paul Alberty (R) 32%
