Athlete	Nationality	3.60	3.80	3.95	Result
Bob Richards	United States	–	–	o	4.55 OR
Don Laz	United States	–	–	o	4.50
Ragnar Lundberg	Sweden	–	–	o	4.40
Petro Denysenko	Soviet Union	–	–	o	4.40
Valto Olenius	Finland	–	–	–	4.30
Bunkichi Sawada	Japan	–	o	xxo	4.20
Volodymyr Brazhnyk	Soviet Union	–	o	o	4.20
Viktor Knyazev	Soviet Union	–	o	o	4.20
George Mattos	United States	–	–	o	4.20
Erkki Kataja	Finland	–	–	o	4.10
Tamás Homonnay	Sweden	–	o	o	4.10
Lennart Lind	Hungary	–	o	O	4.10
Milan Milakov	Yugoslavia	–	o	xo	4.10
Rigas Efstathiadis	Greece	–	o	o	3.95
Torfy Bryngeirsson	Iceland	–	o	o	3.95
Erling Kaas	Norway	–	o	xxx	3.80
Theodosios Balafas	Greece	o	o	xxx	3.80
Jukka Piironen	Finland	–	xo	xx	3.80
Zeno Dragomir	Romania	–	xo	xx	3.80
