Place	Player	Country	Score	To par
1	Tiger Woods	United States	74-66-65=205	–11
2	Chris DiMarco	United States	67-67-74=208	–8
3	Thomas Bjørn	Denmark	71-67-71=209	–7
T4	Trevor Immelman	South Africa	73-73-65=211	–5
T4	Phil Mickelson	United States	70-72-69=211	–5
T6	Mark Hensby	Australia	69-73-70=212	–4
T6	Vijay Singh	Fiji	68-73-71=212	–4
T8	Chad Campbell	United States	73-73-67=213	–3
T8	Mike Weir	Canada	74-71-68=213	–3
T10	Luke Donald	England	68-77-69=214	–2
T10	Tim Herron	United States	76-68-70=214	–2
T10	Thomas Levet	France	71-75-68=214	–2
T10	Rod Pampling	Australia	73-71-70=214	–2
