Date	Opponent	Score	Result	Record
May 17	@ Phoenix	99-94	Win	1-0
May 25	@ Atlanta	74-56	Win	2-0
May 29	@ Indiana	78-82 (2OT)	Loss	2-1
May 31	@ Washington	70-59	Win	3-1
June 3	@ Chicago	81-77 (OT)	Win	4-1
June 6	vs. Phoenix	79-85	Loss	4-2
June 11	vs. Detroit	80-73	Win	5-2
June 13	vs. Connecticut	98-93 (OT)	Win	6-2
June 14	@ Sacramento	74-66	Win	7-2
June 18	vs. Chicago	80-67	Win	8-2
June 20	@ San Antonio	75-77	Loss	8-3
June 22	vs. Indiana	77-63	Win	9-3
June 24	vs. Seattle	76-62	Win	10-3
June 26	vs. Washington	74-77 (OT)	Loss	10-4
July 1	vs. New York	78-89	Loss	10-5
July 3	vs. Minnesota	70-88	Loss	10-6
July 6	vs. Phoenix	91-80	Win	11-6
July 9	vs. Houston	82-74(OT)	Win	12-6
July 10	@ Sacramento	69-87	Loss	12-7
July 12	@ Seattle	52-70	Loss	12-8
July 14	vs. San Antonio	75-62	Win	13-8
July 17	@ Phoenix	92-99	Loss	13-9
July 19	@ Houston	72-75(OT)	Loss	13-10
July 22	@ Detroit	84-81	Win	14-10
July 24	@ Connecticut	61-87	Loss	14-11
July 25	@ New York	68-69	Loss	14-12
July 27	@ Minnesota	92-84(OT)	Win	15-12
August 28	vs. Sacramento	78-63	Win	16-12
August 30	vs. San Antonio	58-53	Win	17-12
September 1	vs. Minnesota	82-58	Win	18-12
September 5	@ San Antonio	58-76	Loss	18-13
September 6	@ Houston	84-66	Win	19-13
September 11	vs. Atlanta	72-83	Loss	19-14
September 14	vs. Seattle	65-48	Win	20-14
