Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
僕の歩く道	Boku no Aruku Michi	Fuji TV	11	18.2%
Dr.コトー診療所 2006	Dr. Koto Shinryojo 2006	Fuji TV	11	22.1%
のだめカンタービレ	Nodame Cantabile	Fuji TV	11	18.8%
役者魂!	Yakusha Damashii!	Fuji TV	11	9.64%
嫌われ松子の一生	Kiraware Matsuko no Isshou	TBS	11	8.19%
セーラー服と機関銃	Sailor Fuku to Kikanjyuu	TBS	7	13.3%
鉄板少女アカネ!!	Teppan Shoujo Akane!!	TBS	9	8.7%
だめんず・うぉ～か～	Damens Walker	TV Asahi	8	8.075%
家族～妻の不在・夫の存在～	Kazoku~Tsuma no Fuzai・Otto no Sonzai~	TV Asahi	8	11.9%
14才の母	Jyuuyon-sai no Haha	NTV	11	19.5%
たったひとつの恋	Tatta Hitotsu no Koi	NTV	10	11.6%
