Date	Opponent	Score	Loss	Record
June 1	Yankees	5 - 2	Rawley (3-2)	22-26
June 2	Yankees	12 - 6 (13)	McLaughlin (2-3)	22-27
June 3	Yankees	3 - 1	John (4-5)	23-27
June 4	Indians	6 - 3	Murray (3-3)	23-28
June 5	Indians	Postponed (rain) Rescheduled for August 17	Postponed (rain) Rescheduled for August 17	Postponed (rain) Rescheduled for August 17
June 6	Indians	5 - 1	Sorensen (5-4)	24-28
June 6	Indians	7 - 5	Garvin (1-1)	24-29
June 7	Indians	7 - 3	Denny (3-6)	25-29
June 8	Angels	11 - 4	Gott (1-3)	25-30
June 9	Angels	5 - 4	Corbett (1-6)	26-30
June 11	Athletics	2 - 1	Kingman (0-1)	27-30
June 12	Athletics	8 - 1	Stieb (5-6)	27-31
June 13	Athletics	7 - 5	Jackson (2-5)	27-32
June 14	Athletics	4 - 2	Gott (1-4)	27-33
June 15	@ Angels	2 - 0	Witt (3-1)	28-33
June 16	@ Angels	7 - 1	Stieb (5-7)	28-34
June 17	@ Angels	10 - 8	Leal (5-4)	28-35
June 18	@ Athletics	6 - 4	Keough (6-8)	29-35
June 19	@ Athletics	3 - 1 (12)	Owchinko (1-1)	30-35
June 20	@ Athletics	3 - 2	Langford (5-8)	31-35
June 21	@ Mariners	5 - 4	Leal (5-5)	31-36
June 22	@ Mariners	6 - 5	Jackson (2-6)	31-37
June 23	@ Mariners	5 - 3 (11)	Stanton (1-1)	32-37
June 25	Twins	Postponed (rain) Rescheduled for September 28	Postponed (rain) Rescheduled for September 28	Postponed (rain) Rescheduled for September 28
June 26	Twins	4 - 3	Stieb (6-8)	32-38
June 27	Twins	3 - 2	Felton (0-8)	33-38
June 29	Mariners	4 - 1	Clancy (7-4)	33-39
June 30	Mariners	10 - 4	Stieb (6-9)	33-40
