Title	Author(s)	Recorded	Location(s)	Time
" Baba O'Riley "	Townshend	December 7, 1991	Salle Omnisports, Rennes , FR	3:13
" Bad Moon Rising "	Fogerty	March 19, 1988	Community World Theatre, Tacoma , WA	2:31
"Bambi Slaughter"	Cobain	December 1985	4-track recording, Burien , WA	3:22
"Blathers Log"	Cobain	December 1985	4-track recording, Burien, WA	—
"Class of '86"	Cobain	December 1985	4-track recording, Burien, WA	—
"Escalator to Hell"	Cobain	1988	4-track recording, Aberdeen, WA	1:28
" Gypsys, Tramps & Thieves "	Stone	1987	Boombox recording, Aberdeen, WA	2:18
" Immigrant Song "	Page Plant	1988	Cassette recording , Aberdeen, WA	1:57
" L'Amour Est Un Oiseau Rebelle "	Yradier	October 19, 1991	Trees, Dallas , TX	1:13
"Laminated Effect"	Cobain	December 1985	4-track recording, Burien, WA	2:11
"Lullaby"	Cobain Novoselic Grohl	February 12–26, 1993	Pachyderm Studio, Cannon Falls, MN	—
"Montage of Heck"	Cobain	1987 or 1988	4-track recording, Aberdeen, WA	5:50
" My Best Friend's Girl "	Ocasek	March 1, 1994	Terminal 1, Munich , DE	2:24
" My Sharona "	Fieger Averee	February 16, 1994	Salle Omnisports, Rennes, FR	1:15
"Run Rabbit Run"	Manchuria Claude	October 30, 1988	Evergreen State Dorms, Olympia, WA	2:00
" Seasons in the Sun "	Brel McKuen	January 22, 1993	Ariola Ltda BMG, Rio de Janeiro, BZ	3:40
"Song in 'D'"	Cobain	May 2–28, 1991	Sound City Studios, Los Angeles, CA	—
"Sound of Dentage"	Cobain	December 1985	4-track recording, Burien, WA	3:22
"Talk to Me"	Cobain	October 4, 1992	Crocodile Cafe , Seattle, WA	3:35
" The End "	Morrison Krieger Manzarek Densmore	November 23, 1991	Vooruit , Ghent , BE	2:22
"Unknown #1"	Cobain	1987 or 1988	4-track recording, Olympia, WA	1:30
"Unknown #2" (aka "Black & White Blues")	Cobain	1987 or 1988	4-track recording, Olympia, WA	1:58
