Num	Team	W	L	PCT	PF	PA	Last appearance	Last championship	HOME games	Home wins	Home losses	Home Win Pct.	ROAD games	Road wins	Road losses	Road Win Pct.
15	Pittsburgh Steelers	8	7	.533	332	303	2010	2010	11	6	5	.545	4	2	2	.500
11	Los Angeles/Oakland Raiders	4	7	.364	202	253	2002	2002	5	3	2	.600	6	1	5	.167
9	New England Patriots	7	2	.777	231	176	2012	2011	5	4	1	.800	4	3	1	.750
8	Denver Broncos	6	2	.750	189	166	2005	1998	5	4	1	.800	3	2	1	.667
7	Miami Dolphins	5	2	.714	152	115	1992	1984	6	4	2	.667	1	1	0	1.000
6	Baltimore/Indianapolis Colts	3	3	.500	125	133	2009	2009	3	3	0	1.000	3	0	3	.000
5	Buffalo Bills	4	1	.800	130	54	1993	1993	3	3	0	1.000	2	1	1	.500
4	Baltimore Ravens	2	2	.500	78	62	2012	2012	0	0	0	—–	4	2	2	.500
4	Houston Oilers/ Tennessee Titans	1	3	.250	75	116	2002	1999	0	0	0	—–	4	1	3	.250
4	San Diego Chargers	1	3	.250	63	95	2007	1994	1	0	1	.000	3	1	2	.333
4	New York Jets	0	4	.000	46	91	2010	1968 **	0	0	0	—–	4	0	4	.000
3	Cleveland Browns	0	3	.000	74	98	1989	1964 *	1	0	1	.000	2	0	2	.000
2	Cincinnati Bengals	2	0	1.000	48	17	1988	1988	2	2	0	1.000	0	0	0	—–
2	Jacksonville Jaguars	0	2	.000	20	53	1999	N/A	1	0	1	.000	1	0	1	.000
1	Kansas City Chiefs	0	1	.000	13	30	1993	1969 ***	0	0	0	—–	1	0	1	.000
1	Seattle Seahawks c[› ]	0	1	.000	14	30	1983	N/A	0	0	0	—–	1	0	1	.000
