Year	Film name	Co-singer	Music director	Language
2000	Ganga Kare Insaaf	Solo	Ravindra Jain	Bhojpuri
1999	Tomay Pabo Bole	Bappi Lahiri	Bappi Lahiri	Bengali
1997	Nehiya Lagvani Saiyan Se	Solo	Surender Kohli	Bhojpuri
1997	Mohabbat Kya Hai	Vinod Rathod	Rajan Bawa	Hindi
1997	Shaan-e-khwaja – 2	Solo	Mami Bhachu	Urdu
1995	Kalyug Ke Avtaar	Mohammad Aziz	Ravindra Jain	Hindi
1995	Parbatiya Banal Panditayain Bitiya Bhail	Usha Mangeshkar	Chitragupta	Bhojpuri
1995	Bhagya Debata	Abhijeet	Madhu Burman	Bengali
1995	Bhagya Debata	Solo	Madhu Burman	Bengali
1995	Bhagya Debata	Udit Narayan	Madhu Burman	Bengali
1995	Tera Dukh Mera Dukh	Suresh Wadkar	Rajan-Arvind	Hindi
1995	Tera Dukh Mera Dukh	Vinod Rathod	Rajan-Arvind	Hindi
1995	Tera Dukh Mera Dukh	Solo	Rajan-Arvind	Hindi
1994	Beta Ho To Aisa	Solo	Ravindra Jain	Hindi
1994	Kokh	Solo	Ravindra Jain	Hindi
1993	Kaal Bhairav	K. J. Yesudas	Ravindra Jain	Hindi
1993	Jaan Pe Khelkar	Suresh Wadkar , Mohammad Aziz	Ravindra Jain	Hindi
1993	Jaan Pe Khelkar	Suresh Wadkar	Ravindra Jain	Hindi
1993	Gouri	Solo	Jugal Kishore-Tilak Raj	Rajasthani
1993	Gouri	Jayshri Shivram	Jugal Kishore – Tilak Raj	Rajasthani
1992	Rajoo Dada	Suresh Wadkar	Usha Khanna	Hindi
1992	Rajoo Dada	Manhar Udhas	Usha Khanna	Hindi
1992	Rajoo Dada	Solo	Usha Khanna	Hindi
1991	Princess From Kathmandu	Suresh Wadkar	Ravindra Jain	Hindi
1991	Pyar Ka Sawan	Anup Jalota	Ravindra Jain	Hindi
1991	Prem Daan	Vivek Sharma	Ravindra Jain	Hindi
1991	Khooni Raat	Solo	Usha Khanna	Hindi
