Season	Competition	Round	Opposition	Score
1955–58	Inter-Cities Fairs Cup	Group B	Birmingham City	0–0 (H), 1–2 (A)
1955–58	Inter-Cities Fairs Cup	Group B	Zagreb XI	1–0 (A), 4–0 (H)
1958–60	Inter-Cities Fairs Cup	First round	Lyon	7–0 (H), 1–1 (A)
1958–60	Inter-Cities Fairs Cup	Quarter-finals	Barcelona	0–4 (A), 2–4 (H)
1960–61	Inter-Cities Fairs Cup	First round	Hannover	8–2 (H), 6–1 (A)
1960–61	Inter-Cities Fairs Cup	Quarter-finals	Belgrade XI	5–0 (H), 0–1 (A)
1960–61	Inter-Cities Fairs Cup	Semifinals	Birmingham City	1–2 (H), 1–2 (A)
1961–62	Inter-Cities Fairs Cup	First round	Köln	2–4 (A), 2–0 (H), 5–3 (PO)
1961–62	Inter-Cities Fairs Cup	Quarter-finals	Hearts	1–0 (A), 4–0 (H)
1961–62	Inter-Cities Fairs Cup	Semifinals	Valencia	0–2 (A), 3–3 (H)
1963–64	European Cup	Preliminary round	Everton	0–0 (A), 1–0 (H)
1963–64	European Cup	First round	AS Monaco	1–0 (H), 3–1 (A)
1963–64	European Cup	Quarter-finals	Partizan	2–0 (A), 2–1 (H)
1963–64	European Cup	Semifinals	Borussia Dortmund	2–2 (A), 2–0 (H)
1963–64	European Cup	Final	Real Madrid	3–1
1964–65	European Cup	First round	Dinamo București	6–0 (H), 1–0 (A)
1964–65	European Cup	Quarter-finals	Rangers	3–1 (H), 0–1 (A)
1964–65	European Cup	Semifinals	Liverpool	1–3 (A), 3–0 (H)
1964–65	European Cup	Final	Benfica	1–0
1965–66	European Cup	First round	Dinamo București	1–2 (A), 2–0 (H)
1965–66	European Cup	Quarter-finals	Ferencvárosi	4–0 (H), 1–1 (A)
1965–66	European Cup	Semifinals	Real Madrid	0–1 (A), 1–1 (H)
1966–67	European Cup	First round	Torpedo Moscow	1–0 (H), 0–0 (A)
1966–67	European Cup	Second round	Vasas	2–1 (H), 2–0 (A)
1966–67	European Cup	Quarter-finals	Real Madrid	1–0 (H), 2–0 (A)
1966–67	European Cup	Semifinals	CSKA Sofia	1–1 (H), 1–1 (A), 1–0 (PO)
1966–67	European Cup	Final	Celtic	1–2
1969–70	Inter-Cities Fairs Cup	First round	Sparta Prague	3–0 (H), 1–0 (A)
1969–70	Inter-Cities Fairs Cup	Second round	Hansa Rostock	1–2 (A), 3–0 (H)
1969–70	Inter-Cities Fairs Cup	Third round	Barcelona	2–1 (A), 1–1 (H)
1969–70	Inter-Cities Fairs Cup	Quarter-finals	Hertha BSC	0–1 (A), 2–0 (H)
1969–70	Inter-Cities Fairs Cup	Semifinals	Anderlecht	1–0 (A), 0–2 (H)
1970–71	Inter-Cities Fairs Cup	First round	Newcastle United	1–1 (H), 0–2 (A)
1971–72	European Cup	First round	AEK Athens	4–1 (H), 2–3 (A)
1971–72	European Cup	Second round	Borussia Mönchengladbach	4–2 (H), 0–0 (A)
1971–72	European Cup	Quarter-finals	Standard Liège	1–0 (H), 1–2 (A)
1971–72	European Cup	Semifinals	Celtic	0–0 (H), 0–0 (A), 5–4 (P)
1971–72	European Cup	Final	Ajax	0–2
1972–73	UEFA Cup	First round	Valletta	6–1 (H), 1–0 (A)
1972–73	UEFA Cup	Second round	Norrköping	2–2 (H), 2–0 (A)
