Edition	Round	Date	Surface	Opponent	Result
1983 World Group I	R1	July 17, 1983	Clay	Christiane Jolissaint	4–6, 6–4, 4–6
1983 World Group I	PO	July 19, 1983	Clay	Angela Longo	6–1, 6–0
1983 World Group I	PO	July 21, 1983	Clay	Olga Zaitseva	6–0, 6–3
1984 World Group I	R1	July 15, 1984	Clay	Jo Durie	6–4, 4–6, 6–4
1984 World Group I	R2	July 16, 1984	Clay	Natasha Reva	6–2, 6–0
1984 World Group I	QF	July 18, 1984	Clay	Mima Jaušovec	3–6, 6–3, 6–1
1985 World Group I	R1	October 6, 1985	Hard	Larisa Savchenko	6–7 (3–7) , 6–4, 6–1
1985 World Group I	R2	October 8, 1985	Hard	Sabrina Goleš	6–1, 6–3
1985 World Group I	QF	October 10, 1985	Hard	Annabel Croft	6–2, 6–2
1985 World Group I	SF	October 12, 1985	Hard	Hana Mandlíková	6–3, 2–6, 1–6
1986 World Group I	R1	July 20, 1986	Clay	Larisa Savchenko	6–2, 6–1
1986 World Group I	R2	July 21, 1986	Clay	Catherine Tanvier	6–0, 6–1
1986 World Group I	QF	July 23, 1986	Clay	Claudia Kohde-Kilsch	6–4, 6–2
1987 World Group I	R1	July 26, 1987	Hard	Angelika Kanellopoulou	6–0, 6–0
1987 World Group I	R2	July 27, 1987	Hard	Yayuk Basuki	6–4, 6–0
1987 World Group I	QF	July 29, 1987	Hard	Elizabeth Smylie	6–4, 6–4
1987 World Group I	SF	July 31, 1987	Hard	Chris Evert	2–6, 6–2, 4–6
1989 World Group I	R1	October 1, 1989	Hard	Kim Il-soon	6–1, 6–0
1989 World Group I	R2	October 3, 1989	Hard	Mercedes Paz	4–6, 6–1, 6–3
1989 World Group I	QF	October 5, 1989	Hard	Anne Minter	3–6, 6–2, 4–6
↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓	↓Representing [[|]]↓
1991 World Group I	R1	July 23, 1991	Hard	Mercedes Paz	6–0, 7–6 (7–5)
1991 World Group I	R2	July 24, 1991	Hard	Li Fang	6–7 (5–7) , 7–5, 6–2
1991 World Group I	QF	July 25, 1991	Hard	Jana Novotná	4–6, 4–6
1992 World Group I	R1	July 14, 1992	Clay	Catarina Lindqvist	6–0, 6–2
1992 World Group I	PO	July 16, 1992	Clay	Anna Smashnova	6–1, 6–0
1992 World Group I	PO	July 17, 1992	Clay	Rossana de los Ríos	6–2, 6–2
