Year	Champion	Runner-up	Third place	Fourth place	Jack Tompkins Trophy (MVP)
2012	Michigan Tech	Western Michigan	Michigan	Michigan State	Pheonix Copley , MTU
2011	Michigan	Michigan State	Boston College	Michigan Tech	Kevin Clare , UM
2010	Michigan	Colorado College	Michigan State	Michigan Tech	Luke Glendening , UM
2009	Michigan State	Rensselaer Polytechnic Institute	Michigan	Michigan Tech	Brett Perlini , MSU
2008	Michigan	Michigan State	Michigan Tech	North Dakota	Louie Caporusso , UM
2007	Michigan	Michigan Tech	Providence	Michigan State	Billy Sauer , UM
2006	Michigan State	Michigan	Harvard	Michigan Tech	Bryan Lerg , MSU
2005	Colorado College	Michigan State	Michigan	Michigan Tech	Joey Crabb , CC
2004	Michigan State	Michigan	New Hampshire	Michigan Tech	Jim Slater , MSU
2003	Boston College	Michigan State	Michigan	Michigan Tech	Joe Pearce , BC
2002	Boston University	Michigan	Michigan State	Michigan Tech	Sean Fields , BU
2001	North Dakota	Michigan State	Michigan	Michigan Tech	Tim Skarperud , UND
2000	Michigan State	Michigan Tech	Boston College	Michigan	Ryan Miller , MSU
1999	Michigan State	Michigan	Michigan Tech	Lake Superior State	Shawn Horcoff , MSU
1998	Michigan State	Michigan	Northern Michigan	Michigan Tech	Mike Gresl , MSU
1997	Michigan State	Michigan	Michigan Tech	St. Lawrence	Mike Weaver , MSU
1996	Michigan	Lake Superior State	Michigan State	Michigan Tech	Brendan Morrison , UM
1995	Michigan	Michigan State	Michigan Tech	Northern Michigan	Brendan Morrison, UM
1994	Michigan	Michigan State	Michigan Tech	Cornell	Brendan Morrison, UM
1993	Michigan	Michigan State	Michigan Tech	Notre Dame	David Oliver , UM
1992	Michigan	Northern Michigan	Michigan State	Michigan Tech	Cam Stewart , UM
1991	Michigan	Michigan Tech	Michigan State	Harvard	Steve Shields , UM
1990	Michigan	Maine	Michigan Tech	Michigan State	Steve Shields, UM
1989	Michigan	Michigan State	Michigan Tech	Northern Michigan	Warren Sharples , UM
1988	Michigan	North Dakota	Michigan State	Michigan Tech	Todd Brost , UM
1987	Wisconsin	Michigan State	Michigan	Michigan Tech	Dean Anderson , UW
1986	Western Michigan	Michigan	Michigan State	Michigan Tech	Bill Horn , WMU
1985	Michigan State	Rensselaer Polytechnic Institute	Michigan	Michigan Tech	Don McSween , MSU
1984	Michigan State	Michigan Tech	Michigan	Bowling Green	Bob Essensa , MSU
1983	Michigan State	Michigan Tech	Northern Michigan	Michigan	Dan McFall , MSU
1982	Michigan State	Michigan Tech	Michigan	Notre Dame	Dale Krentz , MSU
1981	Notre Dame	Michigan Tech	Michigan, Michigan State	Michigan, Michigan State	Dave Laurion , ND
1980	Michigan Tech	Michigan	Michigan State	Harvard	Paul Fricker , UM
1979	Michigan Tech	Michigan	Wisconsin	Michigan State	Murray Eaves , UM
1978	Michigan Tech	Ohio State	Boston University	Michigan	John Rockwell , MTU
1977	Michigan Tech	Michigan	Lake Superior State	Western Michigan	Dave Joelson , MTU
1976	Michigan Tech	Michigan	Brown	Bowling Green	Greg Hay , MTU
1975	Michigan	Michigan Tech	Boston University	Pennsylvania	Stu Ostlund , MTU
1974	Michigan Tech	Michigan	Harvard	Yale	Robbie Moore , UM
1973	Michigan State	Michigan Tech	Boston College	Pennsylvania	Tom Ross , MSU
1972	Harvard	Michigan Tech	Boston University	Michigan	Dave Hynes , Har
1971	Michigan Tech	Michigan State	Dartmouth	Notre Dame	Ian Williams , ND
1970	Michigan Tech	Michigan	Colgate	Brown	Mike Usitalo , MTU
1969	New Hampshire	Michigan State	Michigan Tech	Princeton	Larry Smith , UNH
1968	Michigan Tech	Wisconsin	Michigan State	Michigan	Bill Watt , MSU
1967	North Dakota	Michigan Tech	Michigan State	Western Ontario	Roger Bamburak , UND
1966	Michigan	Michigan State	Michigan Tech	Western Ontario	Mel Wakabayashi , UM
1965	Toronto	Michigan Tech	Boston University	Colorado College	Henry Monteith , UT
