Year	Division	League	Regular Season	Playoffs	Open Cup	Avg. Attendance
1994	3	USISL	7th, Midwest	Did not qualify	Did not enter	67
1995	4	USISL Premier League	3rd, Central	4th Place	Did not qualify	234
1996	4	USISL Premier League	5th, Southern	Conference Semifinals	Did not qualify	806
1997	4	USISL PDSL	3rd, Central	Conference Quarterfinals	Did not qualify	576
1998	4	USISL PDSL	2nd, Central	3rd Place	Did not qualify	789
1999	4	USL PDL	4th, Heartland	Did not qualify	Did not qualify	1226
2000	4	USL PDL	3rd, Heartland	Did not qualify	Did not qualify	2356
2001	4	USL PDL	2nd, Heartland	3rd Place	Did not qualify	2626
2002	4	USL PDL	1st, Heartland	Conference Semifinals	2nd Round	4402
2003	4	USL PDL	2nd, Heartland	Conference Semifinals	1st Round	3971
2004	4	USL PDL	3rd, Heartland	Did not qualify	Did not qualify	4415
2005	4	USL PDL	2nd, Heartland	National Champions	4th Round	4112
2006	4	USL PDL	2nd, Heartland	Conference Semifinals	3rd Round	3927
2007	4	USL PDL	4th, Heartland	Did not qualify	Did not qualify	3589
2008	4	USL PDL	3rd, Heartland	Did not qualify	Did not qualify	3364
2009	4	USL PDL	1st, Heartland	Conference Finals	Did not qualify	3837
2010	4	USL PDL	4th, Heartland	Did not qualify	1st Round	3488
2011	4	USL PDL	2nd, Heartland	Conference Semifinals	1st Round (*)	3372
2012	4	USL PDL	3rd, Heartland	Did not qualify	Did not qualify	3474
