City	Operator	Type designation	Number of vehicles	Width
Bonn , Germany	SWB	K5000	15	2.65 m
Bursa , Turkey	Bursaray	U5-2010 Bursa	30	2.65 m
Cologne , Germany	KVB	K5000	59	2.65 m
Cologne , Germany	KVB	K5200	15	2.65 m
Frankfurt am Main , Germany	VgF	U5-25 (Bi-directional)	54	2.65 m
Frankfurt am Main , Germany	VgF	U5-50 (Uni-directional)	92	2.65 m
İzmir , Turkey	İzmir Metro	MD	30	2.65 m
İzmir , Turkey	İzmir Metro	M	15	2.65 m
Greater Manchester , England	Metrolink	M5000	94	2.65 m
Rotterdam , Netherlands	RET	MG2/1, SG2/1	81	2.664 m
Rotterdam , Netherlands	RET	RSG3	64	2.664 m
