Place	Player	Country	Score	To par	Money ( $ )
1	Raymond Floyd	United States	63-69-68-72=272	–8	65,000
2	Lanny Wadkins	United States	71-68-69-67=275	–5	45,000
T3	Fred Couples	United States	67-71-72-66=276	–4	27,500
T3	Calvin Peete	United States	69-70-68-69=276	–4	27,500
T5	Jay Haas	United States	71-66-68-72=277	–3	16,000
T5	Greg Norman	Australia	66-69-70-72=277	–3	16,000
T5	Jim Simons	United States	68-67-73-69=277	–3	16,000
8	Bob Gilder	United States	66-68-72-72=278	–2	11,000
T9	Lon Hinkle	United States	70-68-71-71=280	E	7,919
T9	Tom Kite	United States	73-70-70-67=280	E	7,919
T9	Jerry Pate	United States	72-69-70-69=280	E	7,919
T9	Tom Watson	United States	72-69-71-68=280	E	7,919
