Nr.	Player	Games played	Starting	Sub	Subbed	Mins played	Goals	Pens. against	Pens. for	Fouls suff.	Fouls comm.	Yellow C	Red c	Assists	Passes	Good passes
10	Prieto	37	36	1	3	3388	7	0	0	116	26	6	0	81	1872	1307
17	Zurutuza	36	30	6	20	2595	2	2	0	97	60	6	0	27	1373	972
27	Griezmann	37	34	3	19	2952	7	0	0	43	45	7	0	51	1276	750
11	Aranburu	32	27	5	11	2422	5	0	0	37	35	6	0	16	1020	782
20	Tamudo	31	20	11	13	1904	7	0	0	43	24	5	0	9	381	258
15	Ansotegi	32	32	0	1	2947	1	0	0	9	21	3	0	2	806	612
19	Rivas	32	31	1	10	2683	2	0	0	60	90	9	0	5	1163	916
3	Mikel	32	30	2	3	2795	0	0	1	8	34	5	0	4	878	638
24	De la Bella	30	28	2	2	2651	0	0	1	31	42	4	0	15	1458	1001
2	Martínez	25	25	0	1	2312	0	0	0	35	22	1	0	16	1196	791
5	Bergara	19	9	10	2	1016	0	0	0	11	19	5	0	6	468	379
8	Llorente	18	15	3	9	1320	5	0	0	13	31	4	0	14	328	241
4	Elustondo	18	13	5	4	1237	0	0	0	11	14	3	0	6	579	417
14	Sarpong	16	1	15	1	379	1	0	0	10	8	1	0	6	166	111
22	Estrada	19	18	1	0	1704	1	0	0	12	22	4	0	13	834	561
6	Labaka	14	9	5	1	973	0	0	0	4	13	3	0	2	258	201
23	Sutil	17	4	13	4	553	2	0	0	12	9	1	0	9	223	109
16	Demidov	13	12	1	0	1148	0	0	0	4	6	2	0	3	395	303
9	Agirretxe	11	1	10	0	232	3	0	0	2	3	0	0	0	53	34
21	Ifrán	10	3	7	3	350	2	0	0	7	6	2	0	1	59	41
18	Viguera	5	0	5	0	84	0	0	0	0	2	0	0	1	29	18
