Week	Date	Location	Opponent	Result
1	August 31, 1997	Foxboro Stadium	San Diego Chargers	W 41–7
2	September 7, 1997	RCA Dome	Indianapolis Colts	W 31–6
3	September 14, 1997	Foxboro Stadium	New York Jets	W 27–24 (OT)
4	September 21, 1997	Foxboro Stadium	Chicago Bears	W 31–3
5	Bye	Bye	Bye	Bye
6	October 6, 1997	Mile High Stadium	Denver Broncos	L 13–34
7	October 12, 1997	Foxboro Stadium	Buffalo Bills	W 33–6
8	October 19, 1997	The Meadowlands	New York Jets	L 19–24
9	October 27, 1997	Foxboro Stadium	Green Bay Packers	L 10–28
10	November 2, 1997	Hubert H. Humphrey Metrodome	Minnesota Vikings	L 18–23
11	November 9, 1997	Rich Stadium	Buffalo Bills	W 31–10
12	November 16, 1997	Houlihan's Stadium	Tampa Bay Buccaneers	L 7–27
13	November 23, 1997	Foxboro Stadium	Miami Dolphins	W 27–24
14	November 30, 1997	Foxboro Stadium	Indianapolis Colts	W 20–17
15	December 7, 1997	Jacksonville Municipal Stadium	Jacksonville Jaguars	W 26–20
16	December 13, 1997	Foxboro Stadium	Pittsburgh Steelers	L 21–24 (OT)
17	December 22, 1997	Joe Robbie Stadium	Miami Dolphins	W 14–12
AFC Wildcard Playoff	December 28, 1997	Foxboro Stadium	Miami Dolphins	W 17–3
AFC Divisional Playoff	January 3, 1998	Three Rivers Stadium	Pittsburgh Steelers	L 6–7
