Date	Visitor	Score	Home	Record
October 8	New York Rangers	1–1	Chicago Black Hawks	0–0–1
October 11	Chicago Black Hawks	3–1	Toronto Maple Leafs	1–0–1
October 12	Toronto Maple Leafs	2–5	Chicago Black Hawks	2–0–1
October 16	Chicago Black Hawks	7–2	Detroit Red Wings	3–0–1
October 18	Detroit Red Wings	3–1	Chicago Black Hawks	3–1–1
October 19	Boston Bruins	4–1	Chicago Black Hawks	3–2–1
October 23	Chicago Black Hawks	1–9	Montreal Canadiens	3–3–1
October 25	Chicago Black Hawks	2–6	New York Rangers	3–4–1
October 28	Montreal Canadiens	5–5	Chicago Black Hawks	3–4–2
October 30	Chicago Black Hawks	2–5	Boston Bruins	3–5–2
November 1	Chicago Black Hawks	4–2	Montreal Canadiens	4–5–2
November 4	New York Rangers	2–4	Chicago Black Hawks	5–5–2
November 8	Chicago Black Hawks	4–3	Detroit Red Wings	6–5–2
November 11	Boston Bruins	8–4	Chicago Black Hawks	6–6–2
November 15	Montreal Canadiens	3–1	Chicago Black Hawks	6–7–2
November 16	Detroit Red Wings	2–3	Chicago Black Hawks	7–7–2
November 19	Boston Bruins	2–3	Chicago Black Hawks	8–7–2
November 22	Chicago Black Hawks	1–5	Montreal Canadiens	8–8–2
November 23	Toronto Maple Leafs	3–3	Chicago Black Hawks	8–8–3
November 27	Montreal Canadiens	2–1	Chicago Black Hawks	8–9–3
November 29	Chicago Black Hawks	2–1	Toronto Maple Leafs	9–9–3
November 30	New York Rangers	2–2	Chicago Black Hawks	9–9–4
December 3	Chicago Black Hawks	2–4	New York Rangers	9–10–4
December 6	Detroit Red Wings	4–3	Chicago Black Hawks	9–11–4
December 7	Chicago Black Hawks	2–2	Detroit Red Wings	9–11–5
December 10	Toronto Maple Leafs	2–2	Chicago Black Hawks	9–11–6
December 13	Chicago Black Hawks	2–4	Boston Bruins	9–12–6
December 14	Chicago Black Hawks	3–3	New York Rangers	9–12–7
December 17	Boston Bruins	2–5	Chicago Black Hawks	10–12–7
December 20	Chicago Black Hawks	1–4	Montreal Canadiens	10–13–7
December 21	Detroit Red Wings	2–4	Chicago Black Hawks	11–13–7
December 25	Chicago Black Hawks	2–4	Boston Bruins	11–14–7
December 27	Chicago Black Hawks	2–2	Toronto Maple Leafs	11–14–8
December 28	Toronto Maple Leafs	3–4	Chicago Black Hawks	12–14–8
December 31	Chicago Black Hawks	4–2	Detroit Red Wings	13–14–8
January 1	Montreal Canadiens	2–2	Chicago Black Hawks	13–14–9
January 3	Chicago Black Hawks	2–1	Toronto Maple Leafs	14–14–9
January 4	Boston Bruins	3–5	Chicago Black Hawks	15–14–9
January 7	Chicago Black Hawks	4–0	New York Rangers	16–14–9
January 8	Chicago Black Hawks	4–2	Boston Bruins	17–14–9
January 10	Chicago Black Hawks	0–1	Montreal Canadiens	17–15–9
January 11	New York Rangers	4–3	Chicago Black Hawks	17–16–9
January 17	New York Rangers	1–7	Chicago Black Hawks	18–16–9
January 18	Montreal Canadiens	1–1	Chicago Black Hawks	18–16–10
January 21	Detroit Red Wings	3–2	Chicago Black Hawks	18–17–10
January 24	Chicago Black Hawks	0–2	Detroit Red Wings	18–18–10
January 25	Toronto Maple Leafs	4–1	Chicago Black Hawks	18–19–10
January 28	Chicago Black Hawks	3–1	New York Rangers	19–19–10
January 31	Chicago Black Hawks	3–3	Montreal Canadiens	19–19–11
February 1	Montreal Canadiens	3–3	Chicago Black Hawks	19–19–12
February 5	Chicago Black Hawks	2–1	Boston Bruins	20–19–12
February 7	Chicago Black Hawks	6–3	New York Rangers	21–19–12
February 8	Toronto Maple Leafs	2–7	Chicago Black Hawks	22–19–12
February 12	Chicago Black Hawks	4–5	Boston Bruins	22–20–12
February 14	Chicago Black Hawks	1–5	Toronto Maple Leafs	22–21–12
February 15	Boston Bruins	3–3	Chicago Black Hawks	22–21–13
February 18	New York Rangers	2–4	Chicago Black Hawks	23–21–13
February 21	Chicago Black Hawks	2–5	Detroit Red Wings	23–22–13
February 22	Toronto Maple Leafs	1–5	Chicago Black Hawks	24–22–13
February 28	Boston Bruins	2–5	Chicago Black Hawks	25–22–13
March 1	Detroit Red Wings	1–3	Chicago Black Hawks	26–22–13
March 4	Chicago Black Hawks	2–5	Toronto Maple Leafs	26–23–13
March 7	New York Rangers	6–1	Chicago Black Hawks	26–24–13
March 8	Montreal Canadiens	2–1	Chicago Black Hawks	26–25–13
March 11	Chicago Black Hawks	5–3	New York Rangers	27–25–13
March 14	Chicago Black Hawks	4–8	Montreal Canadiens	27–26–13
March 15	Detroit Red Wings	4–1	Chicago Black Hawks	27–27–13
March 17	Chicago Black Hawks	0–2	Detroit Red Wings	27–28–13
March 21	Chicago Black Hawks	1–5	Toronto Maple Leafs	27–29–13
March 22	Chicago Black Hawks	4–1	Boston Bruins	28–29–13
