Week	Date	Opponent	Result	Attendance
1	September 8, 1963	Buffalo Bills	W 14–10	22,344
2	September 14, 1963	Boston Patriots	W 17–13	26,097
3	September 29, 1963	Kansas City Chiefs	W 24–10	22,654
4	October 6, 1963	at Denver Broncos	L 34–50	18,428
5	October 13, 1963	New York Jets	W 24–20	27,189
6	October 20, 1963	at Kansas City Chiefs	W 38–17	30,107
7	October 27, 1963	Oakland Raiders	L 33–34	30,182
8	November 2, 1963	at New York Jets	W 53–7	18,336
9	November 10, 1963	at Boston Patriots	W 7–6	28,402
10	November 17, 1963	at Buffalo Bills	W 23–13	38,592
11	December 1, 1963	Houston Oilers	W 27–0	31,713
12	December 8, 1963	at Oakland Raiders	L 27–41	20,249
13	December 15, 1963	at Houston Oilers	W 20–14	18,540
14	December 22, 1963	Denver Broncos	W 58–20	31,312
