Country	Transfers In	Transfers Out	Internal Transfers	Total Transfers
Germany	46	57	12	115
Brazil	14	6	1	21
Czech Republic	2	7	1	10
Turkey	4	3	0	7
Croatia	2	4	1	7
Austria	4	2	0	6
Bosnia and Herzegovina	3	1	2	6
Portugal	3	3	0	6
The Netherlands	3	1	0	4
Denmark	0	4	0	4
Romania	2	1	1	4
Switzerland	1	2	1	4
Italy	3	0	0	3
Peru	3	0	0	3
United States	2	1	0	3
Ghana	2	1	0	3
Serbia	2	0	1	3
Poland	0	3	0	3
Greece	1	2	0	3
France	2	1	0	3
Paraguay	1	1	0	2
Cameroon	1	0	1	2
Colombia	1	1	0	2
Burkina Faso	2	0	0	2
Argentina	0	2	0	2
Belgium	0	2	0	2
Finland	2	0	0	2
Iceland	1	1	0	2
Ukraine	1	1	0	2
Bulgaria	2	0	0	2
Nigeria	1	1	0	2
Paraguay	1	1	0	2
South Africa	0	2	0	2
Georgia	1	0	0	1
Morocco	1	0	0	1
Egypt	0	0	1	1
Slovenia	1	0	0	1
Republic of the Congo	0	1	0	1
Guinea	0	1	0	1
Albania	0	1	0	1
Senegal	0	1	0	1
Sweden	0	1	0	1
Ivory Coast	1	0	0	1
Russia	0	1	0	1
Iran	0	1	0	1
Australia	0	1	0	1
Tunisia	1	0	0	1
Hungary	0	0	1	1
South Korea	1	0	0	1
Montenegro	1	0	0	1
Cyprus	0	1	0	1
Zambia	1	0	0	1
Israel	1	0	0	1
Algeria	1	0	0	1
Honduras	0	1	0	1
Macedonia	0	1	0	1
