Driver	Constructor	Laps	Time/Retired	Grid
Emerson Fittipaldi	McLaren - Ford	32	1:24:37.06	1
Clay Regazzoni	Ferrari	32	+ 13.57	8
Jacky Ickx	Lotus - Ford	31	+ 1 Lap	5
Carlos Pace	Surtees - Ford	31	+ 1 Lap	12
Mike Hailwood	McLaren - Ford	31	+ 1 Lap	7
Ronnie Peterson	Lotus - Ford	31	+ 1 Lap	4
Carlos Reutemann	Brabham - Ford	31	+ 1 Lap	2
Patrick Depailler	Tyrrell - Ford	31	+ 1 Lap	16
James Hunt	March - Ford	31	+ 1 Lap	18
Jean-Pierre Beltoise	BRM	31	+ 1 Lap	17
Graham Hill	Lola - Ford	31	+ 1 Lap	21
Denny Hulme	McLaren - Ford	31	+ 1 Lap	11
Jody Scheckter	Tyrrell - Ford	31	+ 1 Lap	14
Henri Pescarolo	BRM	30	+ 2 Laps	22
Richard Robarts	Brabham - Ford	30	+ 2 Laps	24
François Migault	BRM	30	+ 2 Laps	23
Jochen Mass	Surtees - Ford	30	+ 2 Laps	10
John Watson	Brabham - Ford	27	Clutch	15
Hans Joachim Stuck	March - Ford	24	Transmission	13
Jean-Pierre Jarier	Shadow - Ford	21	Brakes	19
Arturo Merzario	Iso Marlboro - Ford	20	Throttle	9
Peter Revson	Shadow - Ford	10	Overheating	6
Howden Ganley	March - Ford	8	Ignition	20
Niki Lauda	Ferrari	2	Engine	3
Guy Edwards	Lola - Ford	2	Chassis	25
