Pick	Player	Team	Position	Hometown/School
1	Al Chambers	Seattle Mariners	OF	Harrisburg, PA
2	Tim Leary	New York Mets	RHP	UCLA
3	Jay Schroeder	Toronto Blue Jays	C	Pacific Palisades, CA
4	Brad Komminsk	Atlanta Braves	OF	Lima, OH
5	Juan Bustabad *	Oakland Athletics	SS	Hialeah, FL
6	Andy Van Slyke	St. Louis Cardinals	OF	New Hartford, NY
7	John Bohnet	Cleveland Indians	LHP	Vallejo, CA
8	John Mizerock	Houston Astros	C	Punxsutawney, PA
9	Steve Buechele *	Chicago White Sox	SS	Fullerton, CA
10	Tim Wallach	Montreal Expos	1B	Cal State Fullerton
11	Kevin Brandt	Minnesota Twins	OF	Nekoosa, WI
12	Jon Perlman	Chicago Cubs	RHP	Baylor University
13	Rick Leach	Detroit Tigers	OF	University of Michigan
14	Joe Lansford	San Diego Padres	1B	San Jose, CA
15	Scott Garrelts	San Francisco Giants	RHP	Buckley, IL
16	Steve Howe	Los Angeles Dodgers	LHP	University of Michigan
17	Jerry Don Gleaton	Texas Rangers	LHP	University of Texas at Austin
18	Rick Luecken *	San Francisco Giants	RHP	Houston, TX
19	Rick Seilheimer	Chicago White Sox	C	Brenham, TX
20	Dan Lamar	Cincinnati Reds	C	Houston, TX
21	Atlee Hammaker	Kansas City Royals	LHP	East Tennessee State University
22	Mike Sullivan	Cincinnati Reds	RHP	Clemson University
23	Chris Baker	Detroit Tigers	OF	Dearborn Heights, MI
24	Bob Geren	San Diego Padres	C	San Diego, CA
25	Steve Perry	Los Angeles Dodgers	RHP	University of Michigan
26	Mike Stenhouse *	Oakland Athletics	OF	Harvard University
